citynumber;cityfile;country;LU_k_fact;POP_l_fact;;;totpop;lostpop;totsurf(km2);totgreen(km2);%greensurf;totforest(km2);%forestsurf;totwater(km2);%watersurf
1;be001l_bruxelles;BE;2.567915858;1.875227052;389420.8594;11.68262578;1827727.186;34288.828;1623.9648;41.234;2.539094;98.904217;6.090293;5.246618;0.323075
2;be002l_antwerpen;BE;3.622757721;2.358809458;276032.8118;8.280984353;918320.6888;28474.3432;944.4116;19.3168;2.045379;61.170024;6.477051;23.592801;2.498148
3;be003l_gent;BE;5.460117077;3.100758694;183146.256;5.49438768;404267.6966;18713.0868;539.9032;8.8936;1.647258;12.354607;2.2883;8.622411;1.597029
4;be006l_brugge;BE;8.570227053;4.18788633;116683.023;3.500490689;164092.3347;6815.5888;412.2856;3.464;0.840194;13.408805;3.25231;7.6596;1.857838
5;be004l_charleroi;BE;5.590327156;3.149861679;178880.4076;5.366412227;385654.5871;11984.622;619.2076;7.5584;1.220657;45.213603;7.301849;1.4284;0.230682
6;be005l_liege;BE;4.380072693;2.677036004;228306.7132;6.849201395;628217.9098;5782.1728;1055.9648;9.7636;0.924614;100.364203;9.504503;6.498609;0.615419
7;be007l_namur;BE;9.299591791;4.422242869;107531.6017;3.22594805;139362.2595;12394.516;397.4348;5.1324;1.291382;47.91482;12.05602;1.797612;0.452304
8;fr009c_lille;FR;3.323275877;2.226952378;300907.9104;9.027237312;1091289.96;21863.2688;612.7912;11.5632;1.886972;4.574386;0.746484;2.895399;0.472494
9;fr010l_montpellier;FR;5.20862845;3.004800106;191989.1214;5.759673643;444248.7274;6617.0572;591.1548;9.2524;1.56514;30.109028;5.093256;29.22957;4.944487
10;fr012l_le_havre;FR;6.534054326;3.495064225;153044.3351;4.591330053;282297.7833;3067.8516;641.0976;9.2404;1.441341;14.012408;2.18569;8.907798;1.38946
11;fr017l_metz;FR;5.289777784;3.035929057;189043.858;5.671315739;430723.03;7274.4924;1838.9912;9.4392;0.513281;200.001793;10.875625;11.805449;0.641952
12;fr032l_toulon;FR;5.583422993;3.147267718;179101.6015;5.373048046;386608.9366;7420.6476;334.9976;9.6216;2.87214;25.199986;7.522438;2.151417;0.642219
13;fr203c_marseille;FR;3.462619344;2.288775349;288798.7101;8.663961303;1005225.387;18193.3312;605.9436;17.986;2.968263;31.213389;5.151204;5.038199;0.831463
14;fr205c_nice;FR;4.959026021;2.908021355;201652.5011;6.049575032;490094.8916;7657.7684;329.2396;4.3612;1.324628;57.025993;17.320515;0.913597;0.277487
15;fr207c_lens_lievin;FR;7.081802835;3.687759192;141206.9812;4.236209437;240317.4391;20133.7524;239.7836;8.3352;3.476134;8.149803;3.398816;0.729196;0.304106
16;fr016l_nancy;FR;5.438108642;3.092420805;183887.4627;5.516623881;407546.5216;12110.318;1835.8888;9.7988;0.533736;288.593221;15.719537;14.191368;0.772997
17;fr022l_clermont-ferrand;FR;5.365229315;3.064729809;186385.3232;5.591559697;418693.6481;12320.0372;1818.9412;9.682;0.532288;207.515554;11.408591;4.734976;0.260315
18;fr006l_strasbourg;FR;4.365004801;2.670892963;229094.8225;6.872844675;632562.5822;23393.918;1368.9452;7.992;0.583807;119.815627;8.752405;19.811801;1.447231
19;fr008l_nantes;FR;3.999001778;2.519422856;250062.4044;7.501872133;753650.0902;13548.8572;2307.44;25.4836;1.10441;71.693587;3.107062;32.539449;1.410197
20;fr011c_saint_etienne;FR;5.707326524;3.193658537;175213.3851;5.256401552;370004.9296;8563.5924;570.9704;7.2712;1.273481;75.818596;13.278901;1.700813;0.297881
21;fr014l_amiens;FR;6.719224319;3.560787801;148826.7027;4.46480108;266952.9164;3986.9584;1769.0768;5.4548;0.308342;112.170595;6.340629;10.047795;0.567968
22;fr018l_reims;FR;6.443980495;3.462869656;155183.5858;4.655507574;290244.8454;3139.7016;1793.5388;5.4812;0.305608;127.405766;7.103597;3.569771;0.199035
23;fr019l_orleans;FR;5.801717174;3.228774409;172362.7626;5.170882879;358063.327;9299.6708;2070.5324;14.2696;0.689175;361.051823;17.437632;18.69678;0.902994
24;fr026l_grenoble;FR;4.800791508;2.845827447;208298.9853;6.24896956;522934.4567;11523.2968;1601.2896;8.5808;0.535868;414.198612;25.866565;10.055988;0.627993
25;fr035l_tours;FR;5.598356976;3.152877218;178623.8363;5.358715089;384549.0784;7852.8544;1812.6992;11.9092;0.656987;224.11797;12.363771;11.754805;0.64847
26;fr202c_aix_en_provence;FR;5.885405313;3.25974968;169911.8322;5.097354966;347952.6882;46592.2028;1293.1948;4.8564;0.375535;113.846222;8.803486;4.464981;0.345267
27;fr013l_rennes;FR;4.644309366;2.783646573;215317.2671;6.459518012;558766.8949;19990.5472;2558.43;6.9292;0.270838;128.151232;5.008979;11.96301;0.467592
28;fr004l_toulouse;FR;3.326769604;2.228512887;300591.9012;9.017757035;1088999.049;15468.1676;4040.3808;11.8352;0.292923;208.643361;5.163953;23.504423;0.581738
29;fr020l_dijon;FR;6.039093671;3.316254436;165587.7611;4.967632833;330468.0047;9358.3388;2279.978;11.0772;0.485847;422.125831;18.514469;8.753412;0.383925
30;fr021l_poitiers;FR;7.363670418;3.78497395;135801.8411;4.074055233;222271.7484;8105.9636;1760.76;8.162;0.46355;162.551437;9.231891;2.781993;0.158
31;fr007l_bordeaux;FR;3.49031298;2.300962716;286507.2575;8.595217726;989336.8947;15561.7012;3890.8216;19.3704;0.497849;1070.837562;27.522145;37.589444;0.966106
32;fr025l_besancon;FR;7.224921382;3.73727811;138409.8106;4.152294318;230890.8373;7768.984;1668.6504;2.9248;0.175279;380.396396;22.79665;7.722828;0.462819
33;fr023l_caen;FR;5.659808472;3.175907342;176684.424;5.30053272;376243.911;3265.2888;1625.4056;5.9496;0.366038;54.44924;3.349886;3.578183;0.220141
34;fr027l_ajaccio;FR;11.95082845;5.227154558;83676.20738;2.510286221;84387.26764;1420.0392;1015.014;0.3776;0.037201;72.442804;7.137124;2.71018;0.267009
35;fr024l_limoges;FR;6.854992723;3.608593801;145879.0754;4.376372261;256483.2179;8414.7708;1836.1476;5.0884;0.277124;253.219412;13.790798;9.067423;0.493829
36;fr015l_rouen;FR;4.828759408;2.85686934;207092.5295;6.212775884;516894.3861;-1;1585.2528;9.8804;0.62327;153.434815;9.678886;12.391211;0.781655
37;fr001l_paris;FR;1.026347413;1.017488699;974328.9532;29.22986859;11441531.66;43275.1504;12068.5556;207.2748;1.717478;1388.319239;11.503607;68.551839;0.56802
38;fr003l_lyon;FR;2.647495216;1.913771676;377715.5078;11.33146524;1719501.591;18436.8768;3318.5244;26.4864;0.798138;292.854302;8.824835;39.469796;1.189378
39;at001l_wien;AT;2.311514159;1.748226525;432616.8611;12.97850583;2255692.179;22516.1268;4618.1968;59.2212;1.282345;585.989578;12.68871;35.823199;0.775697
