dist;dist_km;housing_av;housing_stdev;count;10%quant;25%quant;50%quant;75%quant;90%quant
0;0;0.281457;0.449710;302;0.000000;0.000000;0.000000;1.000000;1.000000
100;0,1;0.321370;0.383966;302;0.028078;0.058911;0.101206;0.882719;0.949739
200;0,2;0.363041;0.330085;302;0.056461;0.117823;0.203665;0.768429;0.905908
300;0,3;0.399345;0.288610;302;0.084692;0.176734;0.303627;0.667097;0.863170
400;0,4;0.428235;0.256779;302;0.112922;0.236331;0.365094;0.640862;0.821105
500;0,5;0.451012;0.234132;302;0.142905;0.284554;0.436651;0.641380;0.779359
600;0,6;0.465984;0.217506;302;0.170296;0.318885;0.469817;0.647691;0.756935
700;0,7;0.477530;0.205265;302;0.198678;0.342339;0.491638;0.634619;0.741815
800;0,8;0.484838;0.195964;302;0.226531;0.362339;0.507599;0.630970;0.725035
900;0,9;0.487067;0.189452;302;0.236363;0.377382;0.503231;0.627420;0.724061
1000;1;0.487972;0.183191;302;0.228120;0.378546;0.508461;0.633321;0.716300
1100;1,1;0.488010;0.177228;302;0.245107;0.381831;0.503786;0.624946;0.706176
1200;1,2;0.488640;0.171610;302;0.261746;0.384185;0.495750;0.615444;0.698029
1300;1,3;0.488767;0.166298;302;0.275210;0.388271;0.506973;0.612551;0.694560
1400;1,4;0.489410;0.161642;302;0.285365;0.389115;0.508603;0.604454;0.693531
1500;1,5;0.489565;0.158674;302;0.275769;0.395497;0.505290;0.603154;0.690122
1600;1,6;0.489104;0.156507;302;0.271318;0.396501;0.507125;0.602791;0.679970
1700;1,7;0.488252;0.155606;302;0.270095;0.392080;0.504384;0.605607;0.678545
1800;1,8;0.486890;0.155096;302;0.267882;0.386768;0.497294;0.604245;0.674082
1900;1,9;0.485098;0.154323;302;0.274589;0.379788;0.498827;0.605800;0.666962
2000;2;0.483164;0.152949;302;0.273054;0.384877;0.499475;0.604248;0.666390
2100;2,1;0.481062;0.151140;302;0.277460;0.382750;0.492411;0.597028;0.665575
2200;2,2;0.478890;0.149206;302;0.277763;0.385542;0.497674;0.590842;0.667159
2300;2,3;0.476849;0.147093;302;0.285510;0.378068;0.494957;0.583140;0.658165
2400;2,4;0.474966;0.145540;302;0.288333;0.376314;0.491217;0.576702;0.662572
2500;2,5;0.473805;0.144352;302;0.289285;0.371992;0.484127;0.570663;0.662186
2600;2,6;0.472094;0.143735;302;0.282790;0.377161;0.481760;0.566743;0.658096
2700;2,7;0.470003;0.143585;302;0.276787;0.371899;0.473256;0.569209;0.658137
2800;2,8;0.467937;0.143606;302;0.274203;0.375632;0.470085;0.566237;0.656273
2900;2,9;0.466258;0.144121;302;0.275427;0.375229;0.464196;0.567122;0.659176
