dist;dist_km;artificial_av;artificial_stdev;count
100;0;0.232386;0.178277;2
200;0,1;0.241094;0.085831;11
300;0,2;0.195053;0.061698;44
400;0,3;0.191191;0.061343;81
500;0,4;0.187585;0.069692;131
600;0,5;0.180934;0.062232;181
700;0,6;0.175995;0.059555;216
800;0,7;0.172744;0.057948;251
900;0,8;0.170553;0.055947;273
1000;0,9;0.169604;0.055651;285
1100;1;0.168273;0.054436;291
1200;1,1;0.166838;0.054969;294
1300;1,2;0.165724;0.055187;298
1400;1,3;0.164621;0.053163;300
1500;1,4;0.163477;0.051730;300
1600;1,5;0.162575;0.050740;301
1700;1,6;0.161839;0.050385;301
1800;1,7;0.161193;0.050252;301
1900;1,8;0.160865;0.050229;302
2000;1,9;0.160300;0.050187;302
2100;2;0.159618;0.050323;302
2200;2,1;0.158735;0.049744;302
2300;2,2;0.157829;0.049247;302
2400;2,3;0.157107;0.048798;302
2500;2,4;0.156750;0.048472;302
2600;2,5;0.156423;0.048429;302
2700;2,6;0.155802;0.048459;302
2800;2,7;0.155067;0.048711;302
2900;2,8;0.154118;0.048444;302
3000;2,9;0.153027;0.048198;302
3100;3;0.151926;0.047996;302
3200;3,1;0.150822;0.047607;302
3300;3,2;0.150084;0.047352;302
3400;3,3;0.149374;0.046889;302
3500;3,4;0.148470;0.046544;302
3600;3,5;0.147682;0.046241;302
3700;3,6;0.147066;0.045991;302
3800;3,7;0.146642;0.045753;302
3900;3,8;0.146470;0.045567;302
4000;3,9;0.146294;0.045154;302
4100;4;0.146005;0.044751;302
4200;4,1;0.145916;0.044368;302
4300;4,2;0.145859;0.044057;302
4400;4,3;0.145456;0.043740;302
4500;4,4;0.145022;0.043567;302
4600;4,5;0.144728;0.043666;302
4700;4,6;0.144393;0.043701;302
4800;4,7;0.144129;0.043645;302
4900;4,8;0.143823;0.043596;302
5000;4,9;0.143262;0.043536;302
5100;5;0.142861;0.043772;302
5200;5,1;0.142499;0.043932;302
5300;5,2;0.142049;0.043815;302
5400;5,3;0.141504;0.043629;302
5500;5,4;0.140623;0.043142;302
5600;5,5;0.139728;0.042594;302
5700;5,6;0.138786;0.041960;302
5800;5,7;0.137771;0.041457;302
5900;5,8;0.136746;0.040939;302
6000;5,9;0.136003;0.040528;302
6100;6;0.135431;0.040345;302
6200;6,1;0.134976;0.040401;302
6300;6,2;0.134633;0.040426;302
6400;6,3;0.134219;0.040339;302
6500;6,4;0.133799;0.040281;302
6600;6,5;0.133408;0.040295;302
6700;6,6;0.132912;0.040034;302
6800;6,7;0.132215;0.039600;302
6900;6,8;0.131551;0.039211;302
7000;6,9;0.130926;0.038811;302
7100;7;0.130321;0.038359;302
7200;7,1;0.129561;0.037822;302
7300;7,2;0.128810;0.037494;302
7400;7,3;0.128184;0.037400;302
7500;7,4;0.127748;0.037402;302
7600;7,5;0.127270;0.037500;302
7700;7,6;0.126674;0.037577;302
7800;7,7;0.126106;0.037803;302
7900;7,8;0.125751;0.037973;302
8000;7,9;0.125391;0.038278;302
8100;8;0.124996;0.038516;302
8200;8,1;0.124504;0.038530;302
8300;8,2;0.124001;0.038396;302
8400;8,3;0.123441;0.038059;302
8500;8,4;0.122759;0.037729;302
8600;8,5;0.121928;0.037206;302
8700;8,6;0.121019;0.036685;302
8800;8,7;0.120256;0.036287;302
8900;8,8;0.119594;0.036008;302
9000;8,9;0.118836;0.035645;302
9100;9;0.118066;0.035196;302
9200;9,1;0.117227;0.034566;302
9300;9,2;0.116416;0.033886;302
9400;9,3;0.115722;0.033556;302
9500;9,4;0.115066;0.033387;302
9600;9,5;0.114565;0.033407;302
9700;9,6;0.114243;0.033617;302
9800;9,7;0.113908;0.033919;302
9900;9,8;0.113457;0.033966;302
10000;9,9;0.112911;0.033730;302
10100;10;0.112313;0.033330;302
10200;10,1;0.111823;0.032856;302
10300;10,2;0.111364;0.032454;302
10400;10,3;0.110886;0.032240;302
10500;10,4;0.110459;0.032220;302
10600;10,5;0.110184;0.032242;302
10700;10,6;0.109885;0.032055;302
10800;10,7;0.109516;0.031871;302
10900;10,8;0.109066;0.031671;302
11000;10,9;0.108507;0.031504;302
11100;11;0.107940;0.031484;302
11200;11,1;0.107368;0.031551;302
11300;11,2;0.106789;0.031611;302
11400;11,3;0.106149;0.031519;302
11500;11,4;0.105486;0.031355;302
11600;11,5;0.104799;0.031305;302
11700;11,6;0.104244;0.031399;302
11800;11,7;0.103846;0.031610;302
11900;11,8;0.103381;0.031637;302
12000;11,9;0.102970;0.031760;302
12100;12;0.102583;0.031771;302
12200;12,1;0.102072;0.031501;302
12300;12,2;0.101510;0.031235;302
12400;12,3;0.100950;0.030996;302
