X,Y,fid,country_2,fua_code,Full_code,fua_name,Pop2018_2
5143842.26982988,2078709.08029908,491,AL,AL001L1,AL001L1_TIRANA_UA2018_v013,Tirana,884722
5168606.93195601,2057807.83229085,492,AL,AL003L1,AL003L1_ELBASAN_UA2018_v013,Elbasan,189381
5108726.12323658,2156568.21163057,490,AL,AL004L1,AL004L1_SHKODER_UA2018_v013,Shkodër,165745
5127567.62159793,1981433.76259631,493,AL,AL005L0,AL005L0_VLORE_UA2018_v013,Vlorë,102856
4793046.16003353,2808920.11960152,39,AT,AT001L3,AT001L3_WIEN_UA2018_v013,Wien,2929389
4733995.94003113,2677073.9795619,40,AT,AT002L3,AT002L3_GRAZ_UA2018_v013,Graz,649768
4638630.77002243,2808800.75960412,41,AT,AT003L3,AT003L3_LINZ_UA2018_v013,Linz,651324
4549023.47001653,2748222.71958701,42,AT,AT004L3,AT004L3_SALZBURG_UA2018_v013,Salzburg,358587
4426558.93000787,2684560.33956799,43,AT,AT005L3,AT005L3_INNSBRUCK_UA2018_v013,Innsbruck,320617
4650950.62046724,2621865.87248954,515,AT,AT006L2,AT006L2_KLAGENFURT_UA2018_v013,Klagenfurt,227853
4997654.54570636,2343201.12819288,487,BA,BA001L1,BA001L1_SARAJEVO_UA2018_v013,Sarajevo,546812
4890304.87325627,2434146.07080022,484,BA,BA002L1,BA002L1_BANJA_LUKA_UA2018_v013,Banja Luka,281799
4954499.68012402,2281191.10919563,488,BA,BA003L1,BA003L1_MOSTAR_UA2018_v013,Mostar,152504
5011147.39812075,2420357.5605752,485,BA,BA004L1,BA004L1_TUZLA_UA2018_v013,Tuzla,244173
4952923.04504013,2376825.13827376,486,BA,BA005L1,BA005L1_ZENICA_UA2018_v013,Zenica,153030
3923640.28997535,3097017.50967912,1,BE,BE001L2,BE001L2_BRUXELLES_BRUSSEL_UA2018_v013,Bruxelles / Brussel,2664467
3930142.25997619,3138348.85968876,2,BE,BE002L2,BE002L2_ANTWERPEN_UA2018_v013,Antwerpen,1106958
3881660.35997302,3123669.03968471,3,BE,BE003L2,BE003L2_GENT_UA2018_v013,Gent,605469
3926459.40997498,3048300.15966748,5,BE,BE004L2,BE004L2_CHARLEROI_UA2018_v013,Charleroi,490249
4008265.8499804,3068743.6596735,6,BE,BE005L2,BE005L2_LIEGE_UA2018_v013,Liège,750514
3848466.43997119,3143833.26968879,4,BE,BE006L2,BE006L2_BRUGGE_UA2018_v013,Brugge,228540
3956822.48997697,3052171.45966885,7,BE,BE007L2,BE007L2_NAMUR_UA2018_v013,Namur,223181
3948426.86000884,3098753.23349994,552,BE,BE008L1,BE008L1_LEUVEN_UA2018_v013,Leuven,226020
3892011.65329331,3055847.5619522,553,BE,BE009L1,BE009L1_MONS_UA2018_v013,Mons,199853
3847171.59981061,3101456.68178028,549,BE,BE010L1,BE010L1_KORTRIJK_UA2018_v013,Kortrijk,172906
3827115.44852025,3147893.53387567,548,BE,BE011L1,BE011L1_OOSTENDE_UA2018_v013,Oostende,129349
5410324.73010261,2273619.97938594,50,BG,BG001L2,BG001L2_SOFIA_UA2018_v013,Sofia,1549475
5535674.7301175,2234871.60936147,44,BG,BG002L2,BG002L2_PLOVDIV_UA2018_v013,Plovdiv,542403
5765389.6201331,2406897.79941511,45,BG,BG003L2,BG003L2_VARNA_UA2018_v013,Varna,417135
5747409.66013597,2320825.14938162,46,BG,BG004L2,BG004L2_BURGAS_UA2018_v013,Burgas,273970
5499857.25010737,2370879.79941991,49,BG,BG005L1,BG005L1_PLEVEN_UA2018_v013,Pleven,148040
5595959.17011373,2440747.96944098,47,BG,BG006L2,BG006L2_RUSE_UA2018_v013,Ruse,176502
5350620.43009108,2408321.81944362,48,BG,BG007L2,BG007L2_VIDIN_UA2018_v013,Vidin,53375
5600738.17012224,2280060.9693759,51,BG,BG008L2,BG008L2_STARA_ZAGORA_UA2018_v013,Stara Zagora,158732
5650603.21884878,2319970.40259155,626,BG,BG009L1,BG009L1_SLIVEN_UA2018_v013,Sliven,118973
5749393.29201396,2444312.55959562,627,BG,BG010L1,BG010L1_DOBRICH_UA2018_v013,Dobrich,103929
5685525.24786479,2395015.38439349,628,BG,BG011L1,BG011L1_SHUMEN_UA2018_v013,Shumen,93999
5670421.84112085,2302084.01785941,625,BG,BG013L1,BG013L1_YAMBOL_UA2018_v013,Yambol,89510
5605700.3655317,2225151.26569448,624,BG,BG014L1,BG014L1_HASKOVO_UA2018_v013,Haskovo,86597
5500937.48946727,2233210.25998785,632,BG,BG015L1,BG015L1_PAZARDZHIK_UA2018_v013,Pazardzhik,107519
5403472.41167559,2196334.80663189,631,BG,BG016L1,BG016L1_BLAGOEVGRAD_UA2018_v013,Blagoevgrad,92937
5587126.692798,2351845.9908701,629,BG,BG017L1,BG017L1_VELIKO_TARNOVO_UA2018_v013,Veliko Tarnovo,86841
5418311.53633296,2332148.12626771,630,BG,BG018L1,BG018L1_VRATSA_UA2018_v013,Vratsa,64439
4210755.53075394,2696165.46974378,473,CH,CH001L2,CH001L2_ZURICH_UA2018_v013,Zürich,1370808
4023392.23045413,2573015.21012243,467,CH,CH002L2,CH002L2_GENEVE_UA2018_v013,Genève,598689
4139421.37058049,2719033.16270012,471,CH,CH003L2,CH003L2_BASEL_UA2018_v013,Basel,551486
4126918.13824581,2651687.70827656,469,CH,CH004L2,CH004L2_BERN_UA2018_v013,Bern,422447
4062455.45026119,2606801.79014184,468,CH,CH005L2,CH005L2_LAUSANNE_UA2018_v013,Lausanne,426485
4225246.47448065,2710411.01322164,474,CH,CH006L1,CH006L1_WINTERTHUR_UA2018_v013,Winterthur,144615
4274067.45090532,2701321.74959926,475,CH,CH007L2,CH007L2_ST_GALLEN_UA2018_v013,St. Gallen,169032
4192066.72630863,2661010.3968054,472,CH,CH008L2,CH008L2_LUZERN_UA2018_v013,Luzern,231910
4239663.16576231,2543955.24258092,422,CH,CH009L2,CH009L2_LUGANO_UA2018_v013,Lugano,152087
4112104.20013128,2672916.33842789,470,CH,CH010L1,CH010L1_BIEL_BIENNE_UA2018_v013,Biel/Bienne,99749
6434935.00026822,1669888.99901107,52,CY,CY001L2,CY001L2_LEFKOSIA_UA2018_v013,Lefkosia,342470
6421385.46250967,1608495.88965012,599,CY,CY501L2,CY501L2_LEMESOS_UA2018_v013,Lemesos,237739
4636991.78002037,3006718.91965819,65,CZ,CZ001L2,CZ001L2_PRAHA_UA2018_v013,Praha,2202321
4801875.06003246,2919475.50963273,53,CZ,CZ002L2,CZ002L2_BRNO_UA2018_v013,Brno,727802
4916050.10003886,3003557.03965253,54,CZ,CZ003L2,CZ003L2_OSTRAVA_UA2018_v013,Ostrava,714122
4564372.85001595,2965097.2596483,63,CZ,CZ004L2,CZ004L2_PLZEN_UA2018_v013,Plzeň,346664
4606321.12001787,3068823.46967381,55,CZ,CZ005L2,CZ005L2_USTI_NAD_LABEM_UA2018_v013,Ústí nad Labem,119465
4844358.39003461,2968174.8796449,56,CZ,CZ006L2,CZ006L2_OLOMOUC_UA2018_v013,Olomouc,209507
4677520.6100222,3085465.22967695,57,CZ,CZ007L2,CZ007L2_LIBEREC_UA2018_v013,Liberec,145813
4648340.83002234,2883402.83962533,62,CZ,CZ008L2,CZ008L2_CESKE_BUDEJOVICE_UA2018_v013,České Budějovice,184755
4737163.88002666,3027712.20966207,58,CZ,CZ009L2,CZ009L2_HRADEC_KRALOVE_UA2018_v013,Hradec Králové,154376
4734536.70002672,3008118.27965719,59,CZ,CZ010L2,CZ010L2_PARDUBICE_UA2018_v013,Pardubice,202880
4878375.93003757,2930570.86963414,60,CZ,CZ011L2,CZ011L2_ZLIN_UA2018_v013,Zlín,147769
