Column1;country;fua_code;fua_name;perimeter;area;Pop2018;Type;Rescaling_factors_2018;Kfact_exp0_2018;Kfact_exp01_2018;Kfact_exp02_2018;Kfact_exp03_2018;Kfact_exp04_2018;Kfact_exp06_2018;Kfact_exp07_2018;Kfact_exp08_2018;Kfact_exp09_2018;Kfact_exp1_2018;geom
1;BE;BE001L2;Bruxelles / Brussel;496287,5427;3265696841;2664467;1;2,1486354;1;1,165286043;1,357891562;1,582332085;1,843869494;2,503774826;2,91761386;3,399854709;3,961803241;4,616634021;c(327290.998207779, 5961832.73114652)
2;BE;BE002L2;Antwerpen;188996,2373;1190511696;1106958;0;3,3335143;1;1,272273452;1,618679737;2,059403256;2,62012409;4,241141771;5,395892081;6,865050244;8,734221172;11,11231772;c(329170.452575046, 6000761.5176136)
3;BE;BE003L2;Gent;196040,2907;1018510766;605469;0;4,5073568;1;1,351401474;1,826285943;2,468045514;3,335320344;6,091248659;8,231722413;11,1243618;15,03347893;20,31626557;c(279386.616448635, 5983446.76298606)
4;BE;BE006L2;Brugge;136229,8861;565866905;228540;0;7,3364639;1;1,489694989;2,219191162;3,305917954;4,924809412;10,92909352;16,28101586;24,25374775;36,13068649;53,82370263;c(241514.943725858, 5999413.10826755)
5;BE;BE004L2;Charleroi;253301,0007;1097189081;490249;0;5,0090981;1;1,380231414;1,905038756;2,629394336;3,629172662;6,913714574;9,542526043;13,17089421;18,17888194;25,09106393;c(336163.982445831, 5916547.85824124)
6;BE;BE005L2;Liège;254246,593;1414363247;750514;0;4,0484474;1;1,322688871;1,74950585;2,314051919;3,06077072;5,354836282;7,082782358;9,368317403;12,39136917;16,3899261;c(420484.047041092, 5940887.03648425)
7;BE;BE007L2;Namur;200196,0387;840659541,6;223181;0;7,4240226;1;1,493233957;2,22974765;3,329534906;4,971774582;11,08580269;16,55369702;24,71854249;36,91056702;55,11611203;c(367858.248771026, 5922245.71348629)
8;FR;FR009L2;Lille;285785,0491;1443354876;1380710;0;2,9848098;1;1,24446685;1,54869774;1,927302998;2,39846469;3,714496846;4,622568188;5,752632871;7,158960906;8,909089526;c(231678.688104297, 5939342.41638386)
9;FR;FR010L2;Montpellier;322625,786;2239538399;695607;0;4,2051929;1;1,332776066;1,776292041;2,367399518;3,155213416;5,604580479;7,469650721;9,9553717;13,26828113;17,68364752;c(317633.583209397, 5188993.79051046)
10;FR;FR012L2;Le Havre;144944,0114;766292042;295952;0;6,4469939;1;1,451681865;2,107380237;3,059245672;4,441051462;9,35898408;13,58626746;19,72293809;28,63143154;41,56372993;c(8227.72933496407, 5820402.98996159)
11;FR;FR017L2;Metz;492287,4435;1768185335;372423;0;5,7471119;1;1,418697913;2,012703769;2,855418637;4,050976462;8,153415592;11,56723369;16,41041029;23,28141484;33,02929465;c(475163.282648309, 5780967.30937345)
12;FR;FR032L2;Toulon;329109,512;1072183493;556954;0;4,6995712;1;1,362735741;1,857048701;2,530666638;3,448629878;6,404273634;8,727332579;11,89304803;16,20708163;22,0859694;c(488805.494552587, 5135111.28214629)
13;FR;FR203L2;Marseille;514196,2506;4259931738;1754379;0;2,6479281;1;1,215013875;1,476258716;1,793674822;2,179339796;3,217269368;3,90902692;4,749521944;5,770735061;7,011523166;c(441612.839114705, 5154538.36574292)
14;FR;FR205L2;Nice;601322,1322;3074598466;808624;0;3,9002692;1;1,312861512;1,723605349;2,262855125;2,9708154;5,120513315;6,722524853;8,825744142;11,5869798;15,21209981;c(595582.047095856, 5198180.41198606)
15;FR;FR207L2;Lens - Liévin;99701,00502;252716983,9;246691;0;7,061407;1;1,478353347;2,185528618;3,230983546;4,776535339;10,43925468;15,43290709;22,81528984;33,7290601;49,86346887;c(214188.872257104, 5918306.19877249)
16;FR;FR016L2;Nancy;696054,1583;2834341185;476431;0;5,0812187;1;1,384183214;1,915963169;2,652044057;3,670914865;7,033337678;9,73542795;13,47561595;18,65272139;25,81878383;c(478298.34026272, 5735916.04457702)
17;FR;FR022L2;Clermont-Ferrand;469392,9898;2662778986;486522;0;5,0282476;1;1,381285112;1,907948562;2,635420944;3,640267715;6,945443553;9,593637779;13,25154904;18,3041674;25,28327393;c(247134.593518076, 5424623.39767291)
18;FR;FR006L2;Strasbourg;374237,7267;2037902004;783055;0;3,9634352;1;1,317086665;1,734717283;2,284773;3,009244051;5,220187662;6,875439558;9,055549756;11,92694383;15,70881867;c(600324.717462516, 5724444.05659996)
19;FR;FR008L2;Nantes;368699,4739;3165186092;946471;0;3,6050745;1;1,292358038;1,670189297;2,158482563;2,789532289;4,659046973;6,021156803;7,78149039;10,05647165;12,99656197;c(-122360.55823306, 5579180.70017882)
20;FR;FR011L2;Saint-Etienne;303718,5229;1810524714;532235;0;4,8074656;1;1,368936289;1,873986563;2,565368211;3,511825639;6,581114059;9,009125857;12,33291932;16,8829808;23,11172508;c(352647.023917048, 5387904.61244139)
21;FR;FR014L2;Amiens;504698,9055;2447444186;312361;0;6,2753723;1;1,443869355;2,084758714;3,010119219;4,346218895;9,060817714;13,08263703;18,88961869;27,27414154;39,38029716;c(174835.088451481, 5862355.99228901)
22;FR;FR018L2;Reims;405383,8149;2430896647;324472;0;6,1571436;1;1,438387356;2,068958186;2,975963294;4,280587975;8,85635753;12,73887269;18,32343341;26,35619493;37,91041754;c(309628.595446581, 5795545.94401486)
23;FR;FR019L2;Orléans;357546,6681;2921339922;431322;0;5,3403177;1;1,398020109;1,954460225;2,732374697;3,819914772;7,465871485;10,43743847;14,59174886;20,39955834;28,51899277;c(149092.943153716, 5652110.41787915)
24;FR;FR026L2;Grenoble;573277,7627;2660594722;664487;0;4,3025374;1;1,3388901;1,792626701;2,400130144;3,213510489;5,760624707;7,712843393;10,32664966;13,82624901;18,51182792;c(462361.701842364, 5360467.29939901)
25;FR;FR035L2;Tours;399004,6838;2850770411;466557;0;5,1347055;1;1,387085106;1,92400509;2,668758804;3,701795588;7,122273555;9,879199567;13,70329058;19,00763026;26,36520082;c(54181.4981668088, 5597534.41210225)
26;FR;FR013L2;Rennes;451918,5393;3820014532;727893;0;4,1108736;1;1,326743061;1,760247151;2,335395694;3,098470033;5,454073049;7,236153574;9,600516546;12,73741871;16,8992819;c(-130896.169820414, 5674282.14917477)
27;FR;FR004L2;Toulouse;601055,1596;5245990325;1329721;0;3,0414987;1;1,24915844;1,560396808;1,949182842;2,434838198;3,799313751;4,745944838;5,92843705;7,405557176;9,250714248;c(118403.942110601, 5188173.18759904)
28;FR;FR020L2;Dijon;615038,1979;3858733402;408020;0;5,4906931;1;1,405806135;1,976290889;2,778281855;3,905725676;7,718850067;10,85120678;15,25469306;21,44514108;30,1477109;c(396543.480129621, 5590194.96410933)
29;FR;FR021L2;Poitiers;363313,7698;2504429084;271115;0;6,7358301;1;1,464462397;2,144650111;3,140759442;4,5995241;9,864369874;14,44599875;21,15562195;30,98161282;45,37140697;c(27066.5789958552, 5510774.26920022)
30;FR;FR007L2;Bordeaux;588616,2362;5555957914;1226848;0;3,1664491;1;1,259257376;1,585729139;1,996841115;2,514536903;3,987374439;5,021130674;6,322895837;7,962153221;10,02640017;c(-46905.380292562, 5322646.48914811)
31;FR;FR025L2;Besançon;441646,6444;2389971041;273129;0;6,7109498;1;1,463378931;2,141477895;3,133793631;4,585927573;9,820662524;14,37135062;21,03073171;30,77592968;45,03684706;c(474124.375334145, 5581027.04719567)
32;FR;FR023L2;Caen;411139,4958;2262838765;440761;0;5,2828261;1;1,394996967;1,946016538;2,714687168;3,786980366;7,369526421;10,28046701;14,34122029;20,00595881;27,90825186;c(-28659.9654541487, 5787450.23574568)
33;FR;FR027L2;Ajaccio;354068,0217;1470699529;102416;0;10,9593297;1;1,614197976;2,605635105;4,206010912;6,7893343;17,69052779;28,55601415;46,09506024;74,40655293;120,1069071;c(728793.357390021, 5002782.86850492)
34;FR;FR024L2;Limoges;514187,3634;3177796387;308521;0;6,3143046;1;1,445656477;2,089922649;3,021310214;4,36777668;9,128315411;13,1964083;19,07747313;27,57947259;39,87044318;c(100867.329529446, 5429662.29739616)
35;FR;FR215L2;Rouen;441858,1297;2871322980;706119;0;4,1737742;1;1,330778542;1,770971528;2,356770909;3,136340155;5,554369118;7,391635237;9,836629566;13,09037555;17,4203909;c(84266.8855170465, 5815043.44173323)
36;FR;FR001L1;Paris;1462528,996;12097724828;12019500;1;1,011637;1;1,002316637;1,004638641;1,006966024;1,009298799;1,013980574;1,0163296;1,018684067;1,021043988;1,023409376;c(181582.308044792, 5753201.12011366)
37;FR;FR003L2;Lyon;501232,7257;3669726969;2021839;0;2,4665766;1;1,197895469;1,434953556;1,718924363;2,059091707;2,954700967;3,539422902;4,239858659;5,078907479;6,084000259;c(387210.732885137, 5423314.59319017)
38;AT;AT001L3;Wien;934507,2396;9180278573;2929389;1;2,0491765;1;1,154292502;1,332391181;1,53796915;1,775266259;2,365349107;2,730304739;3,151570289;3,637833955;4,199124459;c(1272816.19672105, 5684835.51374327)
39;AT;AT002L3;Graz;451910,0285;2908674968;649768;0;4,3509965;1;1,341892567;1,800675663;2,416313288;3,242432842;5,838569907;7,834733563;10,51337074;14,10781405;18,93117082;c(1217921.80111409, 5563360.31507105)
40;AT;AT003L3;Linz;514160,6691;3590129555;651324;0;4,3457962;1;1,341571647;1,799814484;2,414580081;3,239332176;5,830196968;7,821626948;10,49327295;14,07747747;18,88594463;c(1110032.70165735, 5695336.27676389)
41;AT;AT004L3;Salzburg;363919,3369;1373008971;358587;0;5,856938;1;1,424079141;2,0280014;2,888034492;4,112789679;8,340743228;11,87787845;16,91503895;24,08835413;34,30372267;c(1019972.92546308, 5641749.65658232)
42;AT;AT005L3;Innsbruck;279325,618;2126471035;320617;0;6,1940488;1;1,440107542;2,073909731;2,986653045;4,301101574;8,920096411;12,84589811;18,49947475;26,64123311;38,36624072;c(896778.937912367, 5584197.78074393)
43;BG;BG002L2;Plovdiv;432694,6368;2772271485;542403;0;4,7621915;1;1,366348144;1,866907249;2,550845254;3,485342678;6,506811511;8,890569829;12,14761358;16,59786926;22,67846786;c(2059389.33316947, 5027568.42951908)
44;BG;BG003L2;Varna;379743,8381;2046639667;417135;0;5,430372;1;1,402703615;1,967577431;2,759927976;3,871360949;7,617202432;10,68467739;14,98743559;21,02293009;29,48894003;c(2298207.75880596, 5144705.62946826)
45;BG;BG004L2;Burgas;427186,1312;2958688651;273970;0;6,7006416;1;1,462929099;2,140161547;3,130904603;4,580291449;9,802563634;14,34045558;20,97906975;30,6908916;44,89859839;c(2278056.03081534, 5066112.48208296)
46;BG;BG006L2;Ruse;229744,3693;1339498973;176502;0;8,3482045;1;1,528687155;2,336884417;3,572365189;5,461028776;12,76179305;19,5087891;29,8228353;45,58978523;69,69251906;c(2122483.21052052, 5214772.14938696)
47;BG;BG007L2;Vidin;209144,7337;609474350,4;53375;0;15,1809501;1;1,722898887;2,968380576;5,114219592;8,811283245;26,15524203;45,0628374;77,63871242;133,7636512;230,4612459;c(1868049.65063713, 5229813.54022178)
48;BG;BG005L1;Pleven;328235,1186;1791607462;148040;0;9,1154551;1;1,555806823;2,42053487;3,765884665;5,858989056;14,18188731;22,06427704;34,32775276;53,40735196;83,09152256;c(2022617.87607071, 5166660.4498935)
49;BG;BG001L2;Sofia;667065,2502;5716902430;1549475;1;2,8175758;1;1,230198298;1,513387854;1,861767162;2,290342795;3,466176967;4,264085006;5,245670119;6,453214455;7,938733442;c(1930741.92249738, 5088567.9535003)
50;BG;BG008L2;Stara Zagora;303994,0709;1320669774;158732;0;8,8031003;1;1,544995186;2,387010124;3,68791915;5,697817333;13,60074766;21,01308966;32,46512236;50,15845776;77,49457576;c(2126383.2014799, 5058560.25731814)
51;CY;CY001L2;Lefkosia;391116,1256;1624806564;342470;0;5,9931705;1;1,43064317;2,046739881;2,928154432;4,18914414;8,57408838;12,26646098;17,54892863;25,10625489;35,9180921;c(2950484.91259804, 4242625.53155175)
52;CZ;CZ002L2;Brno;594448,1934;2679123964;727802;0;4,1111306;1;1,326759649;1,760291167;2,335483292;3,098624993;5,454482205;7,236786898;9,601476847;12,73885205;16,90139488;c(1276352.17339243, 5788797.6806578)
53;CZ;CZ003L2;Ostrava;281030,4235;1427503577;714122;0;4,150321;1;1,329279595;1,766984241;2,348816095;3,122233307;5,516937049;7,333551845;9,748340823;12,95827054;17,22516461;c(1394210.64030076, 5856885.02394579)
54;CZ;CZ005L2;Ústí nad Labem;144762,844;358168926,4;119465;0;10,1472311;1;1,589532861;2,526614715;4,016137116;6,38378192;16,12935734;25,63814351;40,7526716;64,77771067;102,9662998;c(1058401.14880212, 5942444.50203762)
55;CZ;CZ006L2;Olomouc;266789,1548;935084290,8;209507;0;7,6624672;1;1,50270498;2,258122255;3,393291558;5,099116121;11,5144276;17,30278768;26,00098521;39,07180995;58,71340337;c(1319144.47536779, 5830856.40031625)
56;CZ;CZ007L2;Liberec;257620,01;611638637,2;145813;0;9,1848015;1;1,55816683;2,427883869;3,783048111;5,894620081;14,31145301;22,29963136;34,74654589;54,14091526;84,36057827;c(1133708.29050831, 5953851.51954074)
57;CZ;CZ009L2;Hradec Králové;260040,6589;795426935,8;154376;0;8,9264341;1;1,549300286;2,400331375;3,718834085;5,761590711;13,82972695;21,42639992;33,19592752;51,43045999;79,68122636;c(1201239.94983266, 5895700.98707772)
58;CZ;CZ010L2;Pardubice;352995,022;863282594,6;202880;0;7,7866074;1;1,507542817;2,272685345;3,426170467;5,165098676;11,73864407;17,69650854;26,67824434;40,21859562;60,63125493;c(1199578.92337334, 5877531.87465475)
59;CZ;CZ011L2;Zlín;177201,9897;578831055;147769;0;9,1238099;1;1,556091914;2,421422044;3,767955263;5,863284716;14,19748686;22,0925945;34,37810766;53,49549534;83,24390772;c(1357270.44103388, 5792232.89253077)
60;CZ;CZ014L2;Jihlava;235999,1315;958591052,9;102249;0;10,9682758;1;1,614461424;2,606485689;4,208070598;6,793767649;17,70785815;28,58865389;46,15527887;74,51591725;120,3030739;c(1195252.28941123, 5810095.56652479)
61;CZ;CZ008L2;České Budějovice;273949,5053;1295044191;184755;0;8,1596174;1;1,521717234;2,315623341;3,523723947;5,362111459;12,41663045;18,89460056;28,7522393;43,75277807;66,57935645;c(1115519.60437455, 5765643.25285857)
62;CZ;CZ004L2;Plzeň;493716,9964;1960378390;346664;0;5,9568069;1;1,428902858;2,041763378;2,917481527;4,168797693;8,511698462;12,16239026;17,37887421;24,83272303;35,48354891;c(1020911.84065906, 5847071.25714643)
63;CZ;CZ013L2;Karlovy Vary;196836,8956;470021086,3;90343;0;11,6686508;1;1,634572276;2,671826525;4,367293564;7,13865698;19,07325307;31,17661069;50,96042348;83,2984954;136,1574112;c(975688.899274227, 5897333.36854537)
64;CZ;CZ001L2;Praha;1070369,138;5706172556;2202321;1;2,3633475;1;1,187696611;1,41062324;1,675392442;1,989857926;2,806939836;3,333792931;3,959534567;4,702725788;5,585411482;c(1095425.69549556, 5882593.52317061)
65;DE;DE003L1;München;671792,3556;5499355146;2884482;0;2,0650662;1;1,156077093;1,336514245;1,545113504;1,786270328;2,387375739;2,759990404;3,190761684;3,688766492;4,264498444;c(901535.080593347, 5677061.83472354)
66;DE;DE004L1;Köln;306992,71;1626325985;1993197;0;2,4842356;1;1,1996058;1,439054075;1,726297615;2,070876632;2,980103456;3,574949391;4,288530024;5,14454549;6,171426608;c(522786.65401466, 5971393.43595667)
67;DE;DE009L2;Dresden;563700,2357;5833380814;1341896;0;3,0276695;1;1,248020426;1,557554985;1,943860436;2,42597753;3,778593395;4,71576174;5,885366977;7,345058204;9,166782672;c(1030582.50555419, 5982780.69244286)
