"dist_km","country_2","mean_diff"
0,"AL",0
0,"AT",0
0,"BA",0
0,"BE",0
0,"BG",0
0,"CH",0
0,"CY",0
0,"CZ",0
0,"DE",0
0,"DK",0
0,"EE",0
0,"EL",0
0,"ES",0
0,"FI",0
0,"FR",0
0,"HR",0
0,"HU",0
0,"IE",0
0,"IS",0
0,"IT",0
0,"LT",0
0,"LU",0
0,"LV",0
0,"ME",0
0,"MK",0
0,"MT",0
0,"NL",0
0,"NO",0
0,"PL",0
0,"PT",0
0,"RO",0
0,"RS",0
0,"SE",0
0,"SI",0
0,"SK",0
0,"TR",0
0,"UK",0
0,"XK",0
0.1,"AL",-2.77555756156289e-17
0.1,"AT",-3.70088458757506e-17
0.1,"BA",-2.2204799305682e-17
0.1,"BE",-4.03707838125656e-17
0.1,"BG",1.95938650886914e-17
0.1,"CH",-2.22036134595559e-17
0.1,"CY",0
0.1,"CZ",2.96063426053796e-17
0.1,"DE",-1.50410993282696e-17
0.1,"DK",0
0.1,"EE",3.70072576889745e-17
0.1,"EL",2.46708698512726e-17
0.1,"ES",-3.95441160478719e-17
0.1,"FI",3.17212628699668e-17
0.1,"FR",4.28025954575737e-17
0.1,"HR",-4.75807447602361e-17
0.1,"HU",-5.84274410879729e-18
0.1,"IE",0
0.1,"IS",0
0.1,"IT",-2.6433725240948e-17
0.1,"LT",0
0.1,"LU",0
0.1,"LV",2.77555756156289e-17
0.1,"ME",0
0.1,"MK",0
0.1,"MT",0
0.1,"NL",4.75799219282302e-17
0.1,"NO",-5.55111512312578e-17
0.1,"PL",3.63655486923382e-17
0.1,"PT",4.62582339015308e-17
0.1,"RO",-1.2688940764931e-17
0.1,"RS",2.37900396171745e-17
0.1,"SE",-1.85042817657174e-17
0.1,"SI",0
0.1,"SK",4.16333634234434e-17
0.1,"TR",-4.52869285897212e-17
0.1,"UK",3.07129821399785e-17
0.1,"XK",3.70075047402508e-17
0.2,"AL",-2.77555756156289e-17
0.2,"AT",-1.85065405202435e-17
0.2,"BA",0
0.2,"BE",4.03706683080728e-17
0.2,"BG",2.61189086596637e-17
0.2,"CH",-3.33060131123969e-17
0.2,"CY",0
0.2,"CZ",-4.44070010436592e-17
0.2,"DE",-3.23684464602969e-17
0.2,"DK",2.77555756156289e-17
0.2,"EE",3.70075047402508e-17
0.2,"EL",1.233807013925e-17
0.2,"ES",-3.64971876951145e-17
0.2,"FI",-3.1718721771125e-17
0.2,"FR",-5.28336902902032e-17
0.2,"HR",0
0.2,"HU",-5.84434901332893e-18
0.2,"IE",-2.22058157452187e-17
0.2,"IS",0
0.2,"IT",4.8907319360343e-17
0.2,"LT",-3.7007892963685e-17
0.2,"LU",0
0.2,"LV",-2.77555756156289e-17
0.2,"ME",0
0.2,"MK",0
0.2,"MT",0
0.2,"NL",3.48952405289768e-17
0.2,"NO",0
0.2,"PL",-2.68064898022468e-17
0.2,"PT",3.70036225059092e-17
0.2,"RO",3.80638213780657e-17
0.2,"RS",7.93107199690889e-18
0.2,"SE",4.62581633154519e-17
0.2,"SI",-5.55111512312578e-17
0.2,"SK",4.16333634234434e-17
0.2,"TR",2.33512717739952e-17
0.2,"UK",1.65329297238375e-17
0.2,"XK",-3.7007292982014e-17
0.3,"AL",5.55111512312578e-17
0.3,"AT",-5.55111512312578e-17
0.3,"BA",-2.22031052397875e-17
0.3,"BE",0
0.3,"BG",6.52912925930609e-18
0.3,"CH",2.22071709979343e-17
0.3,"CY",-5.55111512312578e-17
0.3,"CZ",7.40284208354998e-18
0.3,"DE",4.62677983152269e-17
0.3,"DK",5.55111512312578e-17
0.3,"EE",0
0.3,"EL",1.23388230574253e-17
0.3,"ES",9.13779143497939e-18
0.3,"FI",4.75795347131686e-17
0.3,"FR",1.53721478258794e-17
0.3,"HR",4.75800187319956e-17
0.3,"HU",5.2591294920028e-17
