"dist_km","country_2","mean_diff"
0,"AL",0
0,"AT",0
0,"BA",0
0,"BE",0
0,"BG",0
0,"CH",0
0,"CY",0
0,"CZ",0
0,"DE",0
0,"DK",0
0,"EE",0
0,"EL",0
0,"ES",0
0,"FI",0
0,"FR",0
0,"HR",0
0,"HU",0
0,"IE",0
0,"IS",0
0,"IT",0
0,"LT",0
0,"LU",0
0,"LV",0
0,"ME",0
0,"MK",0
0,"MT",0
0,"NL",0
0,"NO",0
0,"PL",0
0,"PT",0
0,"RO",0
0,"RS",0
0,"SE",0
0,"SI",0
0,"SK",0
0,"TR",0
0,"UK",0
0,"XK",0
0.1,"AL",0
0.1,"AT",0
0.1,"BA",1.04117289876499e-18
0.1,"BE",-8.67361737988404e-19
0.1,"BG",-5.6058633467989e-19
0.1,"CH",6.93465873917096e-19
0.1,"CY",0
0.1,"CZ",5.20275870635166e-19
0.1,"DE",9.59053054528682e-19
0.1,"DK",-4.33680868994202e-19
0.1,"EE",0
0.1,"EL",6.7499114418976e-19
0.1,"ES",6.15932916146017e-19
0.1,"FI",-2.48120151192135e-19
0.1,"FR",-5.95025337621798e-19
0.1,"HR",9.9078653887403e-19
0.1,"HU",-5.48164058917836e-19
0.1,"IE",-6.93211764032919e-19
0.1,"IS",0
0.1,"IT",-5.17395958614502e-19
0.1,"LT",-2.89261751487344e-19
0.1,"LU",0
0.1,"LV",8.67361737988404e-19
0.1,"ME",0
0.1,"MK",6.50521303491303e-19
0.1,"MT",0
0.1,"NL",-5.94036306380116e-19
0.1,"NO",8.67361737988404e-19
0.1,"PL",-5.05408495208676e-19
0.1,"PT",3.60765449451394e-19
0.1,"RO",4.45817641081288e-19
0.1,"RS",-1.85681722508818e-19
0.1,"SE",7.22977913521014e-20
0.1,"SI",-1.73472347597681e-18
0.1,"SK",-1.30104260698261e-18
0.1,"TR",-2.55625627345061e-19
0.1,"UK",2.95149531569641e-18
0.1,"XK",-1.15641173123893e-18
0.2,"AL",0
0.2,"AT",-2.89102050483747e-18
0.2,"BA",2.08234579752997e-18
0.2,"BE",-4.7249037857749e-19
0.2,"BG",-7.15493713092456e-19
0.2,"CH",3.47791728142616e-19
0.2,"CY",8.67361737988404e-19
0.2,"CZ",9.24734102949095e-19
0.2,"DE",-1.70126567456026e-18
0.2,"DK",-2.60208521396521e-18
0.2,"EE",1.73472347597681e-18
0.2,"EL",-1.93499971061649e-19
0.2,"ES",-1.33299706995766e-18
0.2,"FI",-2.97320664956934e-18
0.2,"FR",1.83591840013312e-20
0.2,"HR",-2.9733276542761e-18
0.2,"HU",1.46135473742084e-18
0.2,"IE",4.16469159505994e-18
0.2,"IS",0
0.2,"IT",9.00557362540322e-19
0.2,"LT",-1.73472347597681e-18
0.2,"LU",0
0.2,"LV",1.73472347597681e-18
0.2,"ME",0
0.2,"MK",4.33680868994202e-19
0.2,"MT",0
0.2,"NL",-1.28923254760375e-18
0.2,"NO",-1.73472347597681e-18
0.2,"PL",-8.67361737988404e-19
0.2,"PT",-1.58889263689119e-18
0.2,"RO",-1.14092917901019e-18
0.2,"RS",6.19423093856395e-19
0.2,"SE",-1.5901278932726e-18
0.2,"SI",-3.46944695195361e-18
0.2,"SK",8.67361737988404e-19
0.2,"TR",-2.7940496282219e-18
0.2,"UK",-1.77696699147392e-18
0.2,"XK",1.15662348947575e-18
0.3,"AL",-1.73472347597681e-18
0.3,"AT",-2.31344109066857e-18
0.3,"BA",1.38642352806584e-18
0.3,"BE",-1.57640531783546e-18
0.3,"BG",3.46944695195361e-18
0.3,"CH",2.08268461070887e-18
0.3,"CY",-8.67361737988404e-19
0.3,"CZ",3.23792461303744e-18
0.3,"DE",-6.07153216591882e-18
0.3,"DK",3.46944695195361e-18
0.3,"EE",1.15648231731787e-18
0.3,"EL",1.1549764809672e-18
