"dist_km","country_2","mean_diff"
0,"AL",0
0,"AT",0
0,"BA",0
0,"BE",0
0,"BG",0
0,"CH",0
0,"CY",0
0,"CZ",0
0,"DE",0
0,"DK",0
0,"EE",0
0,"EL",0
0,"ES",0
0,"FI",0
0,"FR",0
0,"HR",0
0,"HU",0
0,"IE",0
0,"IS",0
0,"IT",0
0,"LT",0
0,"LU",0
0,"LV",0
0,"ME",0
0,"MK",0
0,"MT",0
0,"NL",0
0,"NO",0
0,"PL",0
0,"PT",0
0,"RO",0
0,"RS",0
0,"SE",0
0,"SI",0
0,"SK",0
0,"TR",0
0,"UK",0
0,"XK",0
0.1,"AL",-2.16840434497101e-19
0.1,"AT",-8.67361737988404e-19
0.1,"BA",0
0.1,"BE",1.5770213417971e-18
0.1,"BG",5.12205805751424e-20
0.1,"CH",-5.20586449382493e-19
0.1,"CY",0
0.1,"CZ",-4.62479989200848e-19
0.1,"DE",7.58941520739853e-19
0.1,"DK",1.73472347597681e-18
0.1,"EE",0
0.1,"EL",3.85023531913038e-19
0.1,"ES",4.0181850634817e-19
0.1,"FI",-7.43301662392336e-19
0.1,"FR",0
0.1,"HR",-2.47757137071883e-19
0.1,"HU",-6.38974906999783e-19
0.1,"IE",-1.04117289876499e-18
0.1,"IS",0
0.1,"IT",6.0074803411455e-19
0.1,"LT",-3.61436017201304e-19
0.1,"LU",0
0.1,"LV",-1.0842021724855e-18
0.1,"ME",0
0.1,"MK",-6.50521303491303e-19
0.1,"MT",0
0.1,"NL",-9.82074199987986e-20
0.1,"NO",1.44630875743672e-19
0.1,"PL",4.56813630864043e-20
0.1,"PT",7.22272052731636e-20
0.1,"RO",-1.8585869189244e-19
0.1,"RS",0
0.1,"SE",2.16840434497101e-19
0.1,"SI",0
0.1,"SK",1.0842021724855e-19
0.1,"TR",4.97141469016123e-19
0.1,"UK",-3.32613618606923e-19
0.1,"XK",5.78241158658936e-19
0.2,"AL",0
0.2,"AT",2.89064110466318e-18
0.2,"BA",3.46944695195361e-19
0.2,"BE",9.44749748169365e-19
0.2,"BG",6.12604122734801e-19
0.2,"CH",1.56091231520022e-18
0.2,"CY",0
0.2,"CZ",-1.96681050352449e-18
0.2,"DE",-6.19557175894734e-19
0.2,"DK",3.46944695195361e-18
0.2,"EE",0
0.2,"EL",-3.84929417141121e-19
0.2,"ES",-1.14267065222817e-18
0.2,"FI",1.23923945300973e-18
0.2,"FR",-1.44589544617932e-18
0.2,"HR",-3.71847463844638e-19
0.2,"HU",-1.27794981399957e-18
0.2,"IE",-2.08234579752997e-18
0.2,"IS",0
0.2,"IT",-1.81757136519873e-18
0.2,"LT",2.89191165408406e-19
0.2,"LU",0
0.2,"LV",-1.73472347597681e-18
0.2,"ME",0
0.2,"MK",-1.30104260698261e-18
0.2,"MT",0
0.2,"NL",-7.93210053691627e-19
0.2,"NO",-1.15662348947575e-18
0.2,"PL",1.77526422531436e-19
0.2,"PT",1.87917788652313e-18
0.2,"RO",7.41758852381266e-20
0.2,"RS",7.43362164745712e-19
0.2,"SE",-1.45266150454113e-19
0.2,"SI",0
0.2,"SK",4.33680868994202e-19
0.2,"TR",-5.90772045198799e-19
0.2,"UK",8.10934926119186e-19
0.2,"XK",0
0.3,"AL",8.67361737988404e-19
0.3,"AT",4.04938217650706e-18
0.3,"BA",-6.94058796980174e-19
0.3,"BE",1.26254110938014e-18
0.3,"BG",4.09465691796226e-19
0.3,"CH",-1.21434878483113e-18
0.3,"CY",-3.46944695195361e-18
0.3,"CZ",2.31974089821378e-19
0.3,"DE",4.33680868994202e-19
0.3,"DK",-1.73472347597681e-18
0.3,"EE",-1.15619997300212e-18
0.3,"EL",-1.92897636521379e-18
0.3,"ES",-1.0990542570401e-18
0.3,"FI",1.48660332478467e-18
0.3,"FR",-2.79624965799485e-18
