"dist_km","country_2","mean.x","med.x","lower.x","upper.x","std.x"
0,"AL",1,1,1,1,0
0,"AT",1,1,1,1,0
0,"BA",1,1,1,1,0
0,"BE",1,1,1,1,0
0,"BG",1,1,1,1,0
0,"CH",1,1,1,1,0
0,"CY",1,1,1,1,0
0,"CZ",1,1,1,1,0
0,"DE",1,1,1,1,0
0,"DK",1,1,1,1,0
0,"EE",1,1,1,1,0
0,"EL",1,1,1,1,0
0,"ES",1,1,1,1,0
0,"FI",1,1,1,1,0
0,"FR",1,1,1,1,0
0,"HR",1,1,1,1,0
0,"HU",1,1,1,1,0
0,"IE",1,1,1,1,0
0,"IS",1,1,1,1,NA
0,"IT",1,1,1,1,0
0,"LT",1,1,1,1,0
0,"LU",1,1,1,1,NA
0,"LV",1,1,1,1,0
0,"ME",1,1,1,1,NA
0,"MK",1,1,1,1,0
0,"MT",1,1,1,1,NA
0,"NL",1,1,1,1,0
0,"NO",1,1,1,1,0
0,"PL",1,1,1,1,0
0,"PT",1,1,1,1,0
0,"RO",1,1,1,1,0
0,"RS",1,1,1,1,0
0,"SE",1,1,1,1,0
0,"SI",1,1,1,1,0
0,"SK",1,1,1,1,0
0,"TR",1,1,1,1,0
0,"UK",1,1,1,1,0
0,"XK",1,1,1,1,0
0.1,"AL",0.95833,0.978407,0.9534265,0.9833105,0.0500160171811657
0.1,"AT",0.944103166666667,0.9515195,0.941021,0.9692975,0.0387309881589234
0.1,"BA",0.9578938,0.950854,0.949981,0.978384,0.0226988556473669
0.1,"BE",0.966270545454545,0.973055,0.951252,0.9797515,0.0179294596369419
0.1,"BG",0.968978235294118,0.976072,0.968615,0.980207,0.0268600252478693
0.1,"CH",0.9675076,0.974936,0.96599475,0.98111725,0.0231374425322535
0.1,"CY",0.970302,0.970302,0.968055,0.972549,0.00635547574930469
0.1,"CZ",0.963252266666667,0.966685,0.9594985,0.9768885,0.0173661295772903
0.1,"DE",0.954523041666667,0.9607175,0.9465475,0.9755625,0.0341039707102967
0.1,"DK",0.942168,0.9537235,0.936729,0.9591625,0.0306210429062543
0.1,"EE",0.971239,0.972391,0.9672615,0.9757925,0.00858913784963312
0.1,"EL",0.966599111111111,0.981109,0.971641,0.983852,0.032886536851896
0.1,"ES",0.968105643835616,0.978809,0.962044,0.983946,0.031839045818761
0.1,"FI",0.953972571428571,0.969086,0.956379,0.9716875,0.0369561815706888
0.1,"FR",0.962809795180723,0.969952,0.9590765,0.979351,0.0339922292797745
0.1,"HR",0.954330142857143,0.96348,0.96013,0.9695465,0.0322303176860368
0.1,"HU",0.972347684210526,0.973548,0.96574,0.9798585,0.0122734788740811
0.1,"IE",0.9439742,0.968604,0.925639,0.970043,0.0405312736747811
0.1,"IS",0.958069,0.958069,0.958069,0.958069,NA
0.1,"IT",0.971866702380952,0.9799165,0.969233,0.98587625,0.0311574634999983
0.1,"LT",0.974128,0.971798,0.967399,0.9815445,0.00828266121485119
0.1,"LU",0.950067,0.950067,0.950067,0.950067,NA
0.1,"LV",0.96086025,0.969262,0.9526215,0.97750075,0.0311751244891928
0.1,"ME",0.979993,0.979993,0.979993,0.979993,NA
0.1,"MK",0.9716065,0.9792935,0.967295,0.983605,0.0214250896614227
0.1,"MT",0.936145,0.936145,0.936145,0.936145,NA
0.1,"NL",0.960023657142857,0.967577,0.9531155,0.975936,0.0263675046388351
0.1,"NO",0.954065833333333,0.954789,0.94319075,0.97619575,0.0279392270001635
0.1,"PL",0.968158551724138,0.975433,0.96610675,0.98287875,0.0250501103707149
0.1,"PT",0.964674333333333,0.9748075,0.9679785,0.98109375,0.0368422385321604
0.1,"RO",0.973968085714286,0.979286,0.9669255,0.986415,0.017216194671385
0.1,"RS",0.971606642857143,0.9742855,0.97036875,0.98399,0.0209452007486464
0.1,"SE",0.953237833333333,0.960082,0.950596,0.9735335,0.0391967612480079
0.1,"SI",0.9477915,0.9477915,0.94097975,0.95460325,0.0192665384669899
0.1,"SK",0.968086375,0.967849,0.956677,0.98042225,0.0136248443968834
0.1,"TR",0.95385925,0.9702975,0.956851,0.979711,0.0652695572115362
0.1,"UK",0.92027385106383,0.929114,0.9049945,0.949483,0.0602920473896339
0.1,"XK",0.967957666666667,0.964355,0.9591255,0.9749885,0.0161669160427502
0.2,"AL",0.917444,0.9570675,0.9068525,0.967659,0.100709648941896
0.2,"AT",0.889436833333333,0.904354,0.882043,0.93925225,0.0784400671122014
0.2,"BA",0.9178906,0.904714,0.904337,0.956767,0.0453672010079969
0.2,"BE",0.934553727272727,0.950861,0.9072555,0.959502,0.0355220478044015
0.2,"BG",0.941250529411765,0.95759,0.946226,0.960413,0.0527634611072351
0.2,"CH",0.9358545,0.9501255,0.93396125,0.96223375,0.0449982463145942
0.2,"CY",0.942172,0.942172,0.9382085,0.9461355,0.0112104709089315
0.2,"CZ",0.928082266666667,0.936131,0.920586,0.9537775,0.0344580829009613
0.2,"DE",0.910850270833333,0.9265475,0.89568125,0.95214725,0.0685044072494578
0.2,"DK",0.88683825,0.9100765,0.87820975,0.918705,0.0594249832386738
0.2,"EE",0.945646,0.949534,0.9392745,0.9539615,0.0150680249867061
0.2,"EL",0.933895222222222,0.962218,0.943283,0.968662,0.0660258395928779
0.2,"ES",0.937797219178082,0.958125,0.92676,0.970207,0.0637110904045334
0.2,"FI",0.908999571428571,0.940801,0.912758,0.945751,0.0744743883646298
0.2,"FR",0.92799578313253,0.940652,0.9200205,0.9619045,0.0680292999888782
0.2,"HR",0.911072,0.933834,0.9202595,0.940408,0.0635833823861759
0.2,"HU",0.946163842105263,0.947604,0.931981,0.9601605,0.0239135373104003
0.2,"IE",0.8895256,0.937715,0.851278,0.944837,0.0809046868283909
0.2,"IS",0.920888,0.920888,0.920888,0.920888,NA
0.2,"IT",0.945091333333333,0.9642455,0.938791,0.9725,0.062163990910427
0.2,"LT",0.949570833333333,0.947286,0.9359865,0.96412725,0.0162049901624983
0.2,"LU",0.900134,0.900134,0.900134,0.900134,NA
0.2,"LV",0.922505,0.9400925,0.905624,0.9569735,0.0627477189758055
0.2,"ME",0.959986,0.959986,0.959986,0.959986,NA
0.2,"MK",0.94465425,0.9599015,0.93524725,0.9693085,0.0421455408584348
0.2,"MT",0.874919,0.874919,0.874919,0.874919,NA
0.2,"NL",0.920945942857143,0.935155,0.9062315,0.9518725,0.0526862176134177
0.2,"NO",0.911029833333333,0.9143295,0.88650825,0.9566115,0.0563528927506536
0.2,"PL",0.938250137931035,0.952771,0.93640275,0.966265,0.049773867656174
0.2,"PT",0.932120083333333,0.949868,0.938736,0.96660025,0.0722687901322157
0.2,"RO",0.949862885714286,0.961449,0.9341045,0.9730825,0.0342811206821167
0.2,"RS",0.9441885,0.952008,0.94073775,0.96835925,0.0413209730724465
0.2,"SE",0.907478333333333,0.9204165,0.90237925,0.947066,0.0775943942871383
0.2,"SI",0.8992735,0.8992735,0.88724125,0.91130575,0.0340323422717273
0.2,"SK",0.936892875,0.935697,0.91532525,0.961634,0.0274274927109773
0.2,"TR",0.912553881578947,0.9416005,0.91370175,0.9624735,0.110814199275119
0.2,"UK",0.842666595744681,0.860203,0.8122655,0.899223,0.120322464764962
0.2,"XK",0.938374666666667,0.931339,0.9219405,0.951291,0.0299762790274799
0.3,"AL",0.876558,0.935728,0.860279,0.952007,0.151407646147742
0.3,"AT",0.834770166666667,0.8571885,0.823064,0.9092065,0.118161733361383
0.3,"BA",0.877888,0.859447,0.857821,0.935151,0.0680620537891709
0.3,"BE",0.902837090909091,0.928668,0.8632585,0.9392535,0.0531633455483278
0.3,"BG",0.913522764705882,0.938761,0.923836,0.942643,0.0787595419310649
0.3,"CH",0.9042015,0.925315,0.9019275,0.943351,0.0668660692666068
0.3,"CY",0.914042,0.914042,0.908362,0.919722,0.0160654660685583
0.3,"CZ",0.892911866666667,0.904196,0.881536,0.930666,0.051579149847404
0.3,"DE",0.867177447916667,0.8906055,0.84483625,0.93063675,0.102934161974471
0.3,"DK",0.83150825,0.8664285,0.81968975,0.878247,0.0882486469145561
0.3,"EE",0.920052333333333,0.926676,0.911287,0.9321295,0.0216174588315402
0.3,"EL",0.901191444444444,0.943328,0.914924,0.952993,0.0991766975379185
0.3,"ES",0.907721863013699,0.93739,0.891427,0.957826,0.0941626414222746
0.3,"FI",0.864026857142857,0.912516,0.8691375,0.9198145,0.112006961122108
0.3,"FR",0.896556156626506,0.913436,0.8801405,0.9428565,0.0798545397667109
0.3,"HR",0.867813857142857,0.902768,0.8803895,0.911979,0.0949704860740581
0.3,"HU",0.919980210526316,0.922547,0.897972,0.94024,0.0356310968499567
0.3,"IE",0.8350774,0.906826,0.776917,0.919631,0.121295627568763
0.3,"IS",0.883708,0.883708,0.883708,0.883708,NA
0.3,"IT",0.918315892857143,0.947044,0.908376,0.95893975,0.0931918998432051
0.3,"LT",0.925013333333333,0.9227745,0.9045735,0.94670925,0.0242048908997059
0.3,"LU",0.850201,0.850201,0.850201,0.850201,NA
0.3,"LV",0.88414925,0.9109225,0.85862575,0.936446,0.0943274693019837
0.3,"ME",0.939979,0.939979,0.939979,0.939979,NA
0.3,"MK",0.9177015,0.940509,0.9031995,0.955011,0.0628769163021428
0.3,"MT",0.813694,0.813694,0.813694,0.813694,NA
0.3,"NL",0.881868457142857,0.902732,0.8593475,0.927809,0.0790224365169728
0.3,"NO",0.867993833333333,0.8738695,0.82982575,0.93702775,0.0848261440203825
0.3,"PL",0.908341844827586,0.9299405,0.90538925,0.94971075,0.0745494104422784
0.3,"PT",0.89956575,0.925245,0.909493,0.9520105,0.10774412565647
0.3,"RO",0.925757628571429,0.946017,0.9012835,0.959751,0.0514179475618741
0.3,"RS",0.916770142857143,0.92973,0.9111065,0.9527295,0.0617243160673168
0.3,"SE",0.861719166666667,0.880752,0.854163,0.9205995,0.115999444819857
0.3,"SI",0.850755,0.850755,0.8335025,0.8680075,0.0487974389696837
0.3,"SK",0.90569975,0.903546,0.873974,0.94277975,0.0412471714831107
0.3,"TR",0.876376092105263,0.913507,0.87055275,0.9449615,0.135906589286336
0.3,"UK",0.773448680851064,0.790304,0.718525,0.8494915,0.138182973072427
0.3,"XK",0.908792,0.898322,0.8847555,0.9275935,0.0437870976316083
0.4,"AL",0.8356725,0.914389,0.81370575,0.93635575,0.202106199780379
0.4,"AT",0.780103666666667,0.8100225,0.76408575,0.87916125,0.157887261758087
0.4,"BA",0.837885,0.814179,0.811304,0.913535,0.0907643407153933
0.4,"BE",0.871120272727273,0.906474,0.819262,0.919004,0.0708168145910149
0.4,"BG",0.885795176470588,0.919932,0.901447,0.924906,0.104779122268128
0.4,"CH",0.8725485,0.9005045,0.869894,0.9244675,0.0887356490497352
0.4,"CY",0.885912,0.885912,0.8785155,0.8933085,0.0209204612281852
0.4,"CZ",0.857741666666667,0.872262,0.842486,0.907555,0.0687073111442055
0.4,"DE",0.825866322916667,0.854663,0.7939915,0.90923375,0.127504512463016
0.4,"DK",0.7761785,0.8227815,0.7611705,0.8377895,0.117077507120995
0.4,"EE",0.894459,0.903819,0.8833,0.910298,0.0281886360791011
0.4,"EL",0.868684666666667,0.924437,0.886566,0.937324,0.132138176383663
0.4,"ES",0.881722589041096,0.916757,0.855236,0.943991,0.104528443388077
0.4,"FI",0.819053714285714,0.884231,0.8255165,0.893878,0.149543434470518
0.4,"FR",0.865457855421687,0.886873,0.8405945,0.9240045,0.0933746029364506
0.4,"HR",0.824556142857143,0.870357,0.84052,0.884223,0.126365897879173
0.4,"HU",0.89379652631579,0.898313,0.8639625,0.9203205,0.0473686025752272
0.4,"IE",0.7806288,0.875937,0.702556,0.894424,0.161691221282109
0.4,"IS",0.846528,0.846528,0.846528,0.846528,NA
0.4,"IT",0.892787666666667,0.929477,0.87796125,0.945522,0.114283688773572
0.4,"LT",0.900456166666667,0.8982625,0.873161,0.929292,0.0322245208089533
0.4,"LU",0.800268,0.800268,0.800268,0.800268,NA
0.4,"LV",0.84579325,0.8817525,0.81162725,0.9159185,0.125909550742785
0.4,"ME",0.919973,0.919973,0.919973,0.919973,NA
0.4,"MK",0.8907495,0.921117,0.871152,0.9407145,0.0836111388013981
0.4,"MT",0.752468,0.752468,0.752468,0.752468,NA
0.4,"NL",0.842790771428571,0.870686,0.8124635,0.9037455,0.10536313202642
0.4,"NO",0.824958,0.83341,0.77314325,0.91744425,0.113314073957298
0.4,"PL",0.878433586206897,0.90711,0.8742475,0.933074,0.0993380173711419
