dist	ua18_artificial_av	ua18_artificial_stdev	count	10%quant	25%quant	50%quant	75%quant	90%quant
0	1.000000	0.000000	786	1.000000	1.000000	1.000000	1.000000	1.000000
100	0.990024	0.014878	786	0.978212	0.987715	0.993478	0.997371	0.999713
200	0.981960	0.028334	786	0.958571	0.977365	0.989346	0.996261	0.999494
300	0.974673	0.035069	786	0.938786	0.966790	0.985144	0.995248	0.999493
400	0.967445	0.042626	786	0.918381	0.956148	0.980901	0.994177	0.999493
500	0.960249	0.050813	786	0.898102	0.945688	0.976800	0.993127	0.999493
600	0.953315	0.057389	786	0.878170	0.934688	0.972686	0.992142	0.999493
700	0.946516	0.063989	786	0.861370	0.924155	0.968199	0.991005	0.999493
800	0.939724	0.070738	786	0.847233	0.913149	0.964027	0.990027	0.999493
900	0.933014	0.077063	786	0.831840	0.902622	0.958847	0.988957	0.999493
1000	0.926799	0.082576	786	0.809246	0.893790	0.954338	0.987730	0.999493
1100	0.921267	0.087549	786	0.796886	0.885346	0.950861	0.986144	0.999493
1200	0.916251	0.091841	786	0.788019	0.878425	0.946040	0.984561	0.999143
1300	0.911446	0.095417	786	0.775993	0.871006	0.942003	0.983097	0.998217
1400	0.906728	0.098727	786	0.768131	0.862930	0.938839	0.980260	0.997372
1500	0.902070	0.101987	786	0.763866	0.855742	0.934833	0.978199	0.997371
1600	0.897564	0.104838	786	0.751086	0.852153	0.929326	0.975007	0.997093
1700	0.893027	0.107435	786	0.739746	0.843042	0.925191	0.971392	0.996348
1800	0.888727	0.110098	786	0.735206	0.840541	0.921800	0.969523	0.995732
1900	0.884611	0.112897	786	0.730508	0.838097	0.917743	0.966988	0.994740
2000	0.880630	0.115772	786	0.723724	0.826163	0.914215	0.964898	0.993283
2100	0.876936	0.118025	786	0.721046	0.821947	0.913151	0.962472	0.991638
2200	0.873492	0.120093	786	0.713668	0.820786	0.909986	0.960879	0.989761
2300	0.870304	0.121762	786	0.709118	0.811921	0.907408	0.958296	0.987730
2400	0.867342	0.123260	786	0.702300	0.811171	0.905175	0.957549	0.985686
2500	0.864340	0.124729	786	0.697592	0.801533	0.901013	0.956593	0.983395
2600	0.861498	0.126073	786	0.692074	0.798660	0.897734	0.955079	0.981012
2700	0.858538	0.127647	786	0.684397	0.796517	0.894961	0.952205	0.979633
2800	0.855476	0.129071	786	0.676123	0.792913	0.893835	0.949904	0.978906
2900	0.852513	0.130235	786	0.666370	0.789965	0.888694	0.949193	0.978801
3000	0.849595	0.131395	786	0.662370	0.783417	0.887952	0.948058	0.977559
3100	0.846757	0.132634	786	0.661216	0.780163	0.883474	0.948436	0.975688
3200	0.844049	0.133829	786	0.653108	0.778159	0.879131	0.948216	0.974986
3300	0.841328	0.134978	786	0.642899	0.774690	0.879197	0.945407	0.974239
3400	0.838641	0.135886	786	0.637190	0.771619	0.877087	0.942497	0.973699
3500	0.836177	0.136492	786	0.637497	0.768472	0.872489	0.939678	0.973298
3600	0.833733	0.137289	786	0.633678	0.767059	0.867502	0.936075	0.973064
3700	0.831357	0.138234	786	0.628569	0.765165	0.866322	0.933988	0.971171
3800	0.828881	0.139562	786	0.622826	0.758825	0.865042	0.934330	0.969961
3900	0.826678	0.140687	786	0.620073	0.756388	0.864403	0.933116	0.971384
4000	0.824528	0.141560	786	0.615825	0.752170	0.860686	0.931390	0.969734
4100	0.822414	0.142350	786	0.611577	0.749294	0.860766	0.930847	0.968494
4200	0.820230	0.143160	786	0.607329	0.749017	0.860843	0.929251	0.967955
4300	0.818138	0.143637	786	0.605933	0.745373	0.860254	0.927878	0.966855
4400	0.816134	0.143918	786	0.605783	0.744707	0.854471	0.925730	0.965603
4500	0.814097	0.144224	786	0.606248	0.742003	0.852567	0.923227	0.964330
4600	0.812295	0.144411	786	0.605482	0.736474	0.851799	0.922312	0.961952
4700	0.810593	0.144675	786	0.606146	0.731442	0.848329	0.920858	0.961624
4800	0.808904	0.144957	786	0.603855	0.731228	0.844994	0.918591	0.960107
4900	0.807064	0.145258	786	0.607015	0.731795	0.841689	0.917227	0.959393
5000	0.805311	0.145335	786	0.603105	0.727262	0.841325	0.916389	0.956283
5100	0.803617	0.145550	786	0.601539	0.725866	0.837409	0.914407	0.954973
5200	0.801793	0.145867	786	0.602216	0.723937	0.836043	0.912344	0.954700
5300	0.799827	0.146092	786	0.599430	0.723812	0.834329	0.909488	0.954929
5400	0.797813	0.146297	786	0.594198	0.724886	0.831671	0.907750	0.954066
5500	0.795765	0.146695	786	0.585894	0.719678	0.828548	0.906286	0.951242
5600	0.793821	0.147016	786	0.584038	0.717245	0.826152	0.902995	0.947958
5700	0.792017	0.147344	786	0.586241	0.716237	0.824512	0.902109	0.946424
5800	0.790332	0.147628	786	0.585036	0.715657	0.822900	0.901360	0.945308
5900	0.788685	0.147826	786	0.575995	0.710465	0.820492	0.899919	0.943948
6000	0.786845	0.148080	786	0.572791	0.707613	0.818436	0.897908	0.940048
6100	0.784856	0.148424	786	0.565562	0.706439	0.816945	0.897967	0.939340
6200	0.782943	0.148929	786	0.561190	0.705839	0.815760	0.893240	0.938504
6300	0.781095	0.149400	786	0.559998	0.700279	0.814793	0.891692	0.937910
6400	0.779351	0.149691	786	0.558806	0.698930	0.813862	0.890113	0.938867
6500	0.777420	0.150017	786	0.557359	0.698531	0.811098	0.887036	0.937700
6600	0.775462	0.150217	786	0.556422	0.699499	0.808911	0.884247	0.935833
6700	0.773408	0.150642	786	0.555230	0.695882	0.808278	0.882806	0.933863
6800	0.771355	0.150944	786	0.550019	0.692688	0.806846	0.882879	0.933363
6900	0.769235	0.151261	786	0.551427	0.687251	0.803672	0.879898	0.934234
7000	0.767100	0.151551	786	0.549810	0.684299	0.804395	0.879990	0.933582
7100	0.765028	0.151797	786	0.549488	0.679967	0.800480	0.879320	0.931234
7200	0.762986	0.152029	786	0.549269	0.677883	0.797980	0.878865	0.929293
7300	0.761048	0.152167	786	0.548077	0.671230	0.796721	0.876195	0.926561
7400	0.759104	0.152418	786	0.547509	0.666002	0.795117	0.873712	0.926175
7500	0.757326	0.152484	786	0.545693	0.663552	0.793247	0.871979	0.925439
7600	0.755570	0.152571	786	0.544501	0.662622	0.791861	0.867860	0.926073
7700	0.753813	0.152665	786	0.535430	0.663147	0.790392	0.867318	0.923686
7800	0.752031	0.152917	786	0.535203	0.660192	0.787463	0.865356	0.922792
7900	0.750124	0.153177	786	0.532421	0.662527	0.784130	0.863142	0.921516
8000	0.748106	0.153445	786	0.526507	0.658495	0.784065	0.861783	0.921307
8100	0.745982	0.153881	786	0.521783	0.651327	0.781278	0.860850	0.920649
8200	0.743801	0.154334	786	0.522332	0.646532	0.779103	0.858076	0.915965
8300	0.741793	0.154654	786	0.521820	0.643398	0.778841	0.855396	0.916879
8400	0.739651	0.155018	786	0.516512	0.641973	0.776505	0.853553	0.913967
8500	0.737430	0.155422	786	0.511267	0.638733	0.772830	0.852033	0.915692
8600	0.735063	0.155939	786	0.505318	0.635205	0.768953	0.851435	0.912021
8700	0.732589	0.156481	786	0.498404	0.631431	0.765034	0.848588	0.910268
8800	0.730245	0.157066	786	0.496262	0.627613	0.761968	0.848384	0.908386
8900	0.727793	0.157514	786	0.488025	0.623786	0.758158	0.846482	0.907678
9000	0.725312	0.157895	786	0.488869	0.618747	0.754819	0.842969	0.907523
9100	0.722807	0.158325	786	0.488106	0.616053	0.751025	0.842982	0.906039
9200	0.720344	0.158670	786	0.484402	0.616351	0.747282	0.841426	0.902977
9300	0.717855	0.158912	786	0.482429	0.616179	0.745314	0.837376	0.901035
9400	0.715412	0.159067	786	0.479055	0.613053	0.743490	0.836837	0.900485
9500	0.712905	0.159336	786	0.477141	0.609170	0.740736	0.834488	0.900712
9600	0.710330	0.159598	786	0.472892	0.603635	0.736903	0.832670	0.898450
9700	0.707766	0.159816	786	0.466701	0.601334	0.735127	0.831617	0.897070
9800	0.705329	0.159919	786	0.467030	0.599127	0.731107	0.829269	0.895727
9900	0.702977	0.160069	786	0.464185	0.594073	0.727804	0.827993	0.891980
10000	0.700534	0.160260	786	0.462871	0.590783	0.724362	0.824423	0.890344
10100	0.698200	0.160357	786	0.462968	0.586600	0.723190	0.822951	0.889315
10200	0.695898	0.160410	786	0.458643	0.584936	0.720743	0.820099	0.886190
10300	0.693623	0.160380	786	0.458715	0.582794	0.720381	0.816694	0.885008
10400	0.691320	0.160336	786	0.456588	0.581304	0.718786	0.814378	0.882816
10500	0.688983	0.160274	786	0.454462	0.579833	0.715510	0.813233	0.881135
10600	0.686457	0.160195	786	0.450295	0.576596	0.710959	0.811878	0.878326
10700	0.683922	0.160211	786	0.447280	0.576892	0.706907	0.809580	0.875276
10800	0.681277	0.160475	786	0.440883	0.574882	0.703589	0.807728	0.874208
10900	0.678781	0.160753	786	0.440197	0.571622	0.698083	0.807493	0.870257
11000	0.676212	0.161103	786	0.443441	0.571337	0.696017	0.803924	0.870141
11100	0.673721	0.161337	786	0.442965	0.566698	0.692644	0.802195	0.867658
11200	0.671191	0.161424	786	0.440100	0.563370	0.687265	0.798755	0.868217
11300	0.668555	0.161475	786	0.438688	0.560675	0.686937	0.795429	0.864941
11400	0.665805	0.161669	786	0.436636	0.558101	0.685495	0.792877	0.861601
11500	0.663178	0.161915	786	0.433344	0.554701	0.683489	0.790508	0.858628
11600	0.660565	0.162086	786	0.428048	0.551517	0.681567	0.786521	0.856325
11700	0.657920	0.162162	786	0.424521	0.548011	0.676375	0.782648	0.852849
11800	0.655172	0.162192	786	0.421794	0.545040	0.673849	0.779223	0.849426
11900	0.652559	0.162151	786	0.416706	0.542976	0.670944	0.775810	0.849004
12000	0.650059	0.162079	786	0.415400	0.542098	0.667193	0.776267	0.848380
12100	0.647497	0.162048	786	0.411334	0.539362	0.661404	0.773360	0.844882
12200	0.644871	0.161983	786	0.412132	0.533987	0.661029	0.769633	0.842376
12300	0.642280	0.161870	786	0.410045	0.530131	0.657120	0.768367	0.842142
12400	0.639700	0.161850	786	0.406505	0.530545	0.653136	0.765219	0.838074
12500	0.637041	0.162053	786	0.406561	0.527293	0.652190	0.764282	0.837163
12600	0.634494	0.162232	786	0.409454	0.520354	0.649607	0.764875	0.833335
12700	0.632073	0.162514	786	0.404970	0.518964	0.649081	0.762926	0.833432
12800	0.629609	0.162775	786	0.401897	0.515989	0.645733	0.757848	0.832439
12900	0.627124	0.163024	786	0.397091	0.512740	0.643148	0.757087	0.830585
13000	0.624690	0.163256	786	0.396058	0.512090	0.639503	0.755433	0.828678
13100	0.622255	0.163481	786	0.391450	0.510921	0.636168	0.752651	0.826605
13200	0.619723	0.163676	786	0.387107	0.507144	0.633607	0.750686	0.827009
13300	0.617097	0.163940	786	0.381403	0.503580	0.627632	0.747087	0.822731
13400	0.614568	0.164244	786	0.379227	0.499767	0.625384	0.743370	0.818886
13500	0.612097	0.164534	786	0.378362	0.499551	0.622004	0.740975	0.815821
13600	0.609655	0.164744	786	0.370925	0.498581	0.619333	0.739714	0.812358
13700	0.607153	0.164937	786	0.368453	0.495334	0.617095	0.737685	0.811335
13800	0.604652	0.164958	786	0.366131	0.492215	0.615655	0.736083	0.811570
13900	0.602057	0.164952	786	0.363810	0.488242	0.613681	0.733780	0.808689
14000	0.599419	0.164948	786	0.361624	0.485046	0.610382	0.730984	0.806202
14100	0.596776	0.164890	786	0.359956	0.481811	0.607173	0.731516	0.803160
14200	0.594094	0.164814	786	0.358012	0.478226	0.605000	0.727621	0.800980
