dist	ua18_housing_av	ua18_housing_stdev	count	10%quant	25%quant	50%quant	75%quant	90%quant
0	1.000000	0.000000	786	1.000000	1.000000	1.000000	1.000000	1.000000
100	0.960710	0.038495	786	0.925639	0.954282	0.970594	0.981016	0.986730
200	0.923480	0.073809	786	0.851278	0.910909	0.943606	0.963448	0.973902
300	0.887625	0.100061	786	0.776917	0.867163	0.916086	0.946470	0.961573
400	0.852799	0.123002	786	0.702556	0.823509	0.888854	0.929873	0.949187
500	0.819968	0.140073	786	0.634224	0.779949	0.861507	0.912536	0.936993
600	0.788887	0.154380	786	0.558931	0.738700	0.834268	0.895336	0.924485
700	0.759447	0.166779	786	0.503382	0.696295	0.807210	0.878161	0.911899
800	0.731715	0.176825	786	0.475926	0.654903	0.779989	0.861513	0.899314
900	0.705866	0.183713	786	0.445559	0.616162	0.753136	0.844531	0.887224
1000	0.682117	0.188512	786	0.407286	0.579541	0.726621	0.827549	0.875457
1100	0.660439	0.191144	786	0.389950	0.542145	0.699603	0.810451	0.863690
1200	0.641116	0.192037	786	0.378416	0.523913	0.672896	0.793398	0.851923
1300	0.624181	0.191476	786	0.369520	0.502306	0.649231	0.776982	0.839681
1400	0.609004	0.189944	786	0.350932	0.491080	0.631448	0.761200	0.827349
1500	0.595157	0.188392	786	0.340173	0.478020	0.611927	0.746856	0.815016
1600	0.583519	0.185880	786	0.337976	0.464731	0.600537	0.730013	0.802684
1700	0.572907	0.183967	786	0.325054	0.449421	0.591175	0.717520	0.790352
1800	0.563496	0.182277	786	0.327051	0.443050	0.580568	0.701058	0.778890
1900	0.555188	0.180410	786	0.319165	0.435348	0.570699	0.689446	0.771616
2000	0.547844	0.178445	786	0.307874	0.426874	0.566170	0.682762	0.759917
2100	0.541577	0.176577	786	0.303710	0.425031	0.563300	0.678563	0.755921
2200	0.536123	0.175044	786	0.297440	0.422451	0.554127	0.675113	0.747197
2300	0.531371	0.173672	786	0.294268	0.416922	0.544752	0.670488	0.739750
2400	0.527320	0.172380	786	0.292782	0.412757	0.537496	0.662754	0.734847
2500	0.523673	0.171107	786	0.285168	0.403520	0.535097	0.658798	0.730617
2600	0.520372	0.170085	786	0.286767	0.401021	0.530072	0.653889	0.729256
2700	0.517547	0.169350	786	0.286161	0.400141	0.526230	0.646267	0.727762
2800	0.515022	0.168468	786	0.280154	0.400387	0.522469	0.640546	0.722694
2900	0.512519	0.167479	786	0.278458	0.397027	0.518488	0.639648	0.725406
3000	0.510043	0.166500	786	0.278622	0.393197	0.512905	0.630756	0.722039
