dist	ua18_industrial_av	ua18_industrial_stdev	count	10%quant	25%quant	50%quant	75%quant	90%quant
0	0.000000	0.000000	786	0.000000	0.000000	0.000000	0.000000	0.000000
100	0.016230	0.020686	786	0.001666	0.004475	0.009593	0.019252	0.035060
200	0.032395	0.040913	786	0.003332	0.008949	0.019187	0.038504	0.070120
300	0.048147	0.059427	786	0.004998	0.013424	0.028780	0.057756	0.105180
400	0.063312	0.075610	786	0.006664	0.017899	0.038374	0.076158	0.140240
500	0.077548	0.088222	786	0.008375	0.022441	0.047948	0.095197	0.171739
600	0.091229	0.100057	786	0.010746	0.027084	0.057237	0.113411	0.202726
700	0.104155	0.110926	786	0.012855	0.031746	0.067127	0.131252	0.231633
800	0.115969	0.119743	786	0.015230	0.036505	0.076747	0.148662	0.261645
900	0.126680	0.127120	786	0.017327	0.041585	0.085587	0.164472	0.282236
1000	0.136605	0.133740	786	0.019252	0.045762	0.094191	0.181484	0.305817
1100	0.145783	0.138335	786	0.020941	0.050608	0.102004	0.196287	0.321258
1200	0.153697	0.141065	786	0.023567	0.054915	0.109584	0.207254	0.336879
1300	0.160270	0.142122	786	0.026903	0.059321	0.121551	0.216572	0.349183
1400	0.165841	0.142338	786	0.028973	0.063563	0.126506	0.223512	0.353158
1500	0.170508	0.141840	786	0.031042	0.068146	0.130930	0.226739	0.358273
1600	0.173615	0.140216	786	0.032704	0.072478	0.136417	0.231904	0.357953
1700	0.176201	0.139140	786	0.035149	0.078142	0.142999	0.238952	0.364071
1800	0.178321	0.138237	786	0.037217	0.078744	0.144319	0.237121	0.367805
1900	0.179930	0.136941	786	0.040228	0.082700	0.148324	0.241033	0.365791
2000	0.181349	0.135374	786	0.042657	0.086011	0.150201	0.241027	0.364878
2100	0.182364	0.133676	786	0.044598	0.089242	0.151771	0.241593	0.358776
2200	0.182904	0.131844	786	0.046968	0.089085	0.155170	0.241872	0.355635
2300	0.183237	0.129997	786	0.045650	0.090479	0.155147	0.242047	0.350110
2400	0.183114	0.127923	786	0.047635	0.092399	0.155867	0.243929	0.347513
2500	0.182604	0.125770	786	0.047860	0.092340	0.154365	0.242712	0.343043
2600	0.182126	0.123813	786	0.050470	0.093458	0.156406	0.243759	0.340177
2700	0.181285	0.121986	786	0.052643	0.092694	0.156108	0.243411	0.336415
2800	0.180154	0.120147	786	0.051868	0.093476	0.158978	0.240565	0.330907
2900	0.179224	0.118000	786	0.051958	0.093222	0.158436	0.237727	0.331642
3000	0.178488	0.115743	786	0.053088	0.094020	0.156121	0.235111	0.329429
3100	0.177815	0.113691	786	0.052995	0.094548	0.157634	0.232706	0.327293
3200	0.177030	0.111567	786	0.054508	0.096289	0.156977	0.230537	0.323946
3300	0.176336	0.109641	786	0.056387	0.097441	0.158403	0.230954	0.320520
3400	0.175665	0.107852	786	0.057379	0.098814	0.158038	0.232446	0.321949
3500	0.175205	0.106228	786	0.057475	0.097489	0.157257	0.230794	0.319424
3600	0.174694	0.104750	786	0.058800	0.096223	0.157838	0.231612	0.317175
3700	0.174007	0.103333	786	0.058434	0.098111	0.157956	0.232683	0.308166
3800	0.173204	0.101923	786	0.056834	0.098924	0.157479	0.232900	0.308083
3900	0.172556	0.100625	786	0.056907	0.098552	0.156762	0.228875	0.308205
4000	0.172075	0.099198	786	0.055904	0.098794	0.157062	0.228859	0.312076
4100	0.171646	0.098043	786	0.056416	0.098401	0.155800	0.229633	0.309061
4200	0.171047	0.097248	786	0.056075	0.097101	0.156277	0.229451	0.307534
4300	0.170370	0.096438	786	0.056210	0.095269	0.158515	0.228439	0.302792
4400	0.169890	0.095600	786	0.056449	0.095421	0.159007	0.228390	0.298838
4500	0.169489	0.094687	786	0.058258	0.095803	0.159053	0.228356	0.295898
4600	0.169261	0.093908	786	0.058647	0.095738	0.158781	0.230020	0.293625
4700	0.168908	0.093193	786	0.057146	0.095447	0.162170	0.228279	0.292623
4800	0.168557	0.092439	786	0.056156	0.097324	0.162739	0.226548	0.292385
4900	0.168203	0.091622	786	0.055864	0.095462	0.162506	0.225618	0.289436
5000	0.167847	0.090668	786	0.057236	0.094183	0.161258	0.224730	0.290851
5100	0.167522	0.089807	786	0.057131	0.096062	0.160308	0.223841	0.292420
5200	0.167275	0.089179	786	0.057157	0.097789	0.159480	0.224997	0.290786
5300	0.167033	0.088587	786	0.055754	0.096743	0.158016	0.223526	0.290133
5400	0.166747	0.088015	786	0.055974	0.097319	0.158885	0.220923	0.288181
5500	0.166584	0.087683	786	0.056371	0.099034	0.159443	0.219732	0.287782
5600	0.166451	0.087365	786	0.055532	0.099408	0.160010	0.217449	0.285642
5700	0.166214	0.086992	786	0.056442	0.098740	0.159327	0.216398	0.284458
5800	0.165941	0.086651	786	0.057959	0.098584	0.157907	0.217305	0.282142
5900	0.165678	0.086234	786	0.057319	0.101429	0.158503	0.216425	0.279826
6000	0.165403	0.085847	786	0.058115	0.101942	0.155907	0.217388	0.281310
6100	0.165162	0.085464	786	0.057684	0.102070	0.154583	0.218141	0.282996
6200	0.165011	0.085111	786	0.059106	0.103393	0.154539	0.216791	0.282566
6300	0.164929	0.084851	786	0.059550	0.104204	0.155743	0.216084	0.281193
6400	0.164879	0.084663	786	0.060256	0.103284	0.157449	0.213149	0.277867
6500	0.164820	0.084484	786	0.061070	0.104356	0.160287	0.212962	0.278976
6600	0.164649	0.084394	786	0.059788	0.101671	0.158161	0.210480	0.278208
6700	0.164508	0.084343	786	0.061183	0.102923	0.158773	0.210896	0.276388
6800	0.164340	0.084257	786	0.059320	0.103843	0.158084	0.212586	0.276291
6900	0.164135	0.084106	786	0.059086	0.103869	0.157609	0.212910	0.276206
7000	0.163847	0.083938	786	0.058852	0.104419	0.157119	0.214885	0.275602
7100	0.163482	0.083649	786	0.058112	0.103698	0.155194	0.216492	0.273021
7200	0.163104	0.083334	786	0.056348	0.104118	0.153274	0.215816	0.272940
7300	0.162825	0.083176	786	0.059651	0.103630	0.152050	0.213994	0.271631
7400	0.162495	0.083072	786	0.060743	0.103377	0.152254	0.213171	0.271065
7500	0.162201	0.082762	786	0.060137	0.103157	0.151821	0.211803	0.268948
7600	0.162089	0.082517	786	0.059752	0.102794	0.153473	0.212035	0.269819
7700	0.162070	0.082236	786	0.057717	0.103282	0.154582	0.209353	0.271317
7800	0.161957	0.082077	786	0.056477	0.103082	0.154460	0.208652	0.268687
7900	0.161749	0.081784	786	0.057057	0.103846	0.154287	0.206917	0.268672
8000	0.161362	0.081383	786	0.057658	0.103796	0.153971	0.208540	0.266657
8100	0.160973	0.080880	786	0.056226	0.103771	0.154353	0.207209	0.264346
8200	0.160609	0.080305	786	0.056407	0.103805	0.154774	0.208155	0.263106
8300	0.160245	0.079765	786	0.057501	0.104118	0.154318	0.209651	0.259575
8400	0.159869	0.079265	786	0.057698	0.104292	0.152767	0.209585	0.258690
8500	0.159618	0.078849	786	0.058753	0.103771	0.154046	0.209957	0.255389
8600	0.159472	0.078610	786	0.058944	0.103248	0.153822	0.212509	0.256967
