dist	ua18_roads_av	ua18_roads_stdev	count	10%quant	25%quant	50%quant	75%quant	90%quant
0	0.000000	0.000000	786	0.000000	0.000000	0.000000	0.000000	0.000000
100	0.012020	0.012358	786	0.003948	0.005591	0.008110	0.013385	0.023769
200	0.023957	0.023892	786	0.007895	0.011182	0.016220	0.026770	0.047538
300	0.035708	0.034243	786	0.011843	0.016773	0.024329	0.040155	0.071307
400	0.047040	0.042926	786	0.015790	0.022364	0.032439	0.053540	0.095077
500	0.057309	0.048077	786	0.019738	0.027956	0.040549	0.066925	0.118846
600	0.066724	0.051290	786	0.023686	0.033547	0.048659	0.080310	0.142332
700	0.075636	0.054271	786	0.027633	0.039138	0.056769	0.093695	0.156103
800	0.084037	0.056588	786	0.031581	0.044729	0.064878	0.105960	0.167884
900	0.091638	0.057658	786	0.035528	0.050320	0.072977	0.117895	0.182890
1000	0.098439	0.058039	786	0.039476	0.055911	0.081085	0.127190	0.184670
1100	0.104734	0.058558	786	0.043424	0.061408	0.089077	0.137816	0.186716
1200	0.110391	0.058400	786	0.047126	0.066991	0.096502	0.145378	0.190031
1300	0.115328	0.057654	786	0.051435	0.072574	0.102862	0.150457	0.190873
1400	0.119628	0.056541	786	0.055392	0.077683	0.108788	0.156651	0.195219
1500	0.123451	0.055488	786	0.059348	0.081321	0.115034	0.160191	0.197955
1600	0.126825	0.054497	786	0.063436	0.085435	0.118994	0.163342	0.198131
1700	0.129686	0.053527	786	0.067401	0.088668	0.122247	0.164559	0.202323
1800	0.132081	0.052751	786	0.069961	0.092355	0.126794	0.165270	0.203991
1900	0.134053	0.051874	786	0.072481	0.095253	0.127237	0.166206	0.202483
2000	0.135400	0.050854	786	0.075659	0.097407	0.128968	0.167716	0.204896
2100	0.136312	0.049852	786	0.077711	0.099592	0.130888	0.168034	0.200209
2200	0.137028	0.049042	786	0.078589	0.101459	0.131923	0.168754	0.201874
2300	0.137552	0.048505	786	0.079056	0.102777	0.132343	0.168975	0.202123
2400	0.138072	0.048356	786	0.081291	0.103329	0.132826	0.168230	0.199591
2500	0.138448	0.048439	786	0.081018	0.104127	0.132583	0.166769	0.201059
2600	0.138613	0.048228	786	0.081592	0.104314	0.132926	0.167247	0.199488
