dist;dist_km;artif_av;artificial_av_disque;artif_stdev;count;10%quant;25%quant;50%quant;75%quant;90%quant
0;0;0.996689;0.996689;0.057448;302;1.000000;1.000000;1.000000;1.000000;1.000000
100;0.1;0.984361;0.983177;0.067052;302;0.959650;0.985068;1.000000;1.003572;1.007336
200;0.2;0.969838;0.982708;0.075503;302;0.918583;0.961976;0.997327;1.000001;1.005860
300;0.3;0.956998;0.979007;0.085303;302;0.877874;0.942361;0.989869;1.000000;1.005859
400;0.4;0.946818;0.974002;0.092896;302;0.847628;0.926720;0.982417;1.000000;1.005859
500;0.5;0.938330;0.966105;0.097401;302;0.822540;0.915483;0.973761;1.000000;1.005859
600;0.6;0.930771;0.959296;0.098996;302;0.799688;0.894511;0.967513;1.000000;1.003737
700;0.7;0.923848;0.954534;0.099817;302;0.788902;0.886853;0.960060;0.998539;1.000662
800;0.8;0.917006;0.946537;0.100483;302;0.769031;0.881079;0.953699;0.994589;1.000000
900;0.9;0.910360;0.943461;0.102377;302;0.766353;0.870716;0.941121;0.990079;1.000000
1000;1;0.904319;0.938595;0.104892;302;0.749753;0.864297;0.934640;0.987429;1.000000
1100;1.1;0.898981;0.934581;0.107586;302;0.734143;0.854706;0.926652;0.982201;1.000000
1200;1.2;0.894656;0.928922;0.108890;302;0.723234;0.853718;0.926351;0.978186;0.999999
1300;1.3;0.890710;0.922456;0.109479;302;0.729313;0.850146;0.919532;0.973899;0.998159
1400;1.4;0.887448;0.919155;0.109653;302;0.740905;0.846592;0.917855;0.973225;0.996792
1500;1.5;0.884266;0.917124;0.110495;302;0.733399;0.838475;0.912794;0.971777;0.995526
1600;1.6;0.880830;0.915175;0.111739;302;0.736803;0.829367;0.910986;0.965520;0.993329
1700;1.7;0.877312;0.912649;0.113818;302;0.730356;0.823622;0.905294;0.962923;0.991790
1800;1.8;0.873084;0.909914;0.115756;302;0.717736;0.824700;0.900594;0.959193;0.992477
1900;1.9;0.869114;0.905694;0.117321;302;0.716026;0.821034;0.904016;0.958998;0.990688
2000;2;0.865088;0.903984;0.118543;302;0.718253;0.817761;0.896361;0.953322;0.988243
2100;2.1;0.860679;0.901411;0.119861;302;0.708261;0.805116;0.885512;0.951074;0.984936
2200;2.2;0.856466;0.898401;0.120879;302;0.713285;0.800099;0.880349;0.946877;0.982817
2300;2.3;0.852621;0.894850;0.121546;302;0.706466;0.787035;0.879476;0.946576;0.980403
2400;2.4;0.849027;0.890414;0.122233;302;0.695149;0.781277;0.873712;0.944984;0.977974
2500;2.5;0.846301;0.889147;0.122888;302;0.686916;0.779636;0.870973;0.945043;0.975543
2600;2.6;0.843672;0.887768;0.123959;302;0.685598;0.776797;0.867938;0.938831;0.973342
2700;2.7;0.840848;0.884159;0.125215;302;0.683036;0.773287;0.869597;0.941162;0.972251
2800;2.8;0.838252;0.881430;0.126734;302;0.681887;0.768705;0.873589;0.936713;0.971556
2900;2.9;0.835634;0.878268;0.128512;302;0.667869;0.761076;0.870111;0.933861;0.971582
3000;3;0.833020;0.875541;0.129837;302;0.664854;0.759071;0.870233;0.931360;0.972472
3100;3.1;0.830175;0.874541;0.130750;302;0.657154;0.756024;0.864052;0.929001;0.969849
3200;3.2;0.827402;0.872300;0.131584;302;0.651314;0.757230;0.859292;0.926706;0.967669
3300;3.3;0.824855;0.870029;0.132110;302;0.657688;0.748960;0.858521;0.925577;0.968456
3400;3.4;0.822836;0.868034;0.132275;302;0.653181;0.755185;0.856233;0.919159;0.970286
3500;3.5;0.820584;0.866892;0.132605;302;0.646810;0.734891;0.853489;0.922678;0.970071
3600;3.6;0.817918;0.863873;0.132901;302;0.642281;0.734070;0.843824;0.919850;0.966419
3700;3.7;0.815470;0.860435;0.132945;302;0.633458;0.737409;0.841555;0.916219;0.960977
