dist;dist_km;indus_av;indus_stdev;count;10%quant;25%quant;50%quant;75%quant;90%quant
0;0;0.619205;0.485582;302;0.000000;0.000000;1.000000;1.000000;1.000000
100;0,1;0.573922;0.439800;302;0.004898;0.013273;0.885277;0.940234;0.955543
200;0,2;0.529759;0.400009;302;0.009797;0.026546;0.770555;0.881465;0.911794
300;0,3;0.487614;0.364955;302;0.014695;0.039820;0.655832;0.822197;0.868195
400;0,4;0.447836;0.334329;302;0.019594;0.053093;0.556435;0.762930;0.825921
500;0,5;0.408930;0.308694;302;0.024492;0.065615;0.448360;0.704986;0.784120
600;0,6;0.375833;0.284678;302;0.026101;0.075748;0.373432;0.645983;0.742319
700;0,7;0.346350;0.263189;302;0.034461;0.088373;0.323731;0.596277;0.700517
800;0,8;0.321823;0.243489;302;0.038385;0.092220;0.264284;0.538978;0.659976
900;0,9;0.301076;0.226104;302;0.044306;0.095376;0.240007;0.487304;0.619351
1000;1;0.282266;0.211148;302;0.047880;0.095749;0.227722;0.447381;0.578658
1100;1,1;0.267164;0.197507;302;0.049109;0.090567;0.223911;0.402519;0.550767
1200;1,2;0.254408;0.184664;302;0.051337;0.094769;0.211069;0.368229;0.511792
1300;1,3;0.244352;0.173047;302;0.053309;0.102666;0.204225;0.339992;0.502626
1400;1,4;0.235616;0.162893;302;0.054673;0.107661;0.198252;0.327072;0.473119
1500;1,5;0.227970;0.154630;302;0.056712;0.111218;0.192944;0.314070;0.447084
1600;1,6;0.221386;0.147871;302;0.059817;0.114344;0.191326;0.302837;0.425212
1700;1,7;0.215572;0.142270;302;0.055108;0.116166;0.188511;0.283718;0.413735
1800;1,8;0.210473;0.136978;302;0.057824;0.113055;0.179388;0.274128;0.396861
1900;1,9;0.206562;0.132001;302;0.056997;0.113825;0.174832;0.270173;0.391103
2000;2;0.203523;0.128045;302;0.060236;0.113369;0.175194;0.267531;0.376602
2100;2,1;0.200969;0.124098;302;0.063376;0.115324;0.174387;0.266900;0.375867
2200;2,2;0.199014;0.120509;302;0.065996;0.112219;0.173956;0.267604;0.361746
2300;2,3;0.197445;0.117072;302;0.069950;0.112994;0.175391;0.258073;0.340452
2400;2,4;0.195907;0.114188;302;0.069967;0.110545;0.174338;0.251528;0.326394
2500;2,5;0.194087;0.111607;302;0.065694;0.111144;0.180145;0.253099;0.322696
2600;2,6;0.192788;0.109565;302;0.065452;0.109504;0.183736;0.252533;0.320998
2700;2,7;0.191863;0.108156;302;0.062630;0.110786;0.182013;0.245490;0.316037
2800;2,8;0.191098;0.107505;302;0.060388;0.110259;0.179554;0.247469;0.316027
2900;2,9;0.190131;0.107326;302;0.063155;0.109805;0.178598;0.247639;0.315039
3000;3;0.189398;0.106897;302;0.062327;0.107105;0.173004;0.246994;0.313449
3100;3,1;0.188387;0.105830;302;0.063804;0.105540;0.173733;0.254350;0.315090
3200;3,2;0.187395;0.104712;302;0.060602;0.108132;0.170320;0.248558;0.321614
3300;3,3;0.186621;0.103104;302;0.060124;0.113023;0.171541;0.246388;0.319749
3400;3,4;0.185967;0.101474;302;0.061747;0.112981;0.173612;0.243165;0.316429
3500;3,5;0.185542;0.099902;302;0.063071;0.112700;0.174256;0.242293;0.312783
3600;3,6;0.184995;0.098432;302;0.065233;0.109451;0.177021;0.242864;0.308214
3700;3,7;0.184524;0.097249;302;0.065898;0.107982;0.174167;0.240533;0.304457
3800;3,8;0.183815;0.096181;302;0.065981;0.105798;0.174427;0.238918;0.306930
3900;3,9;0.183098;0.095251;302;0.065177;0.109671;0.172977;0.239004;0.306165
4000;4;0.182630;0.094391;302;0.065844;0.107870;0.171001;0.242300;0.302445
4100;4,1;0.182288;0.093581;302;0.067255;0.109105;0.168230;0.243442;0.304667
4200;4,2;0.181785;0.092628;302;0.065346;0.111570;0.168457;0.243373;0.306054
4300;4,3;0.180957;0.091434;302;0.065324;0.110952;0.166206;0.242061;0.309782
4400;4,4;0.180121;0.090463;302;0.064848;0.107011;0.167111;0.238443;0.309121
4500;4,5;0.179635;0.089718;302;0.062911;0.108674;0.171412;0.238635;0.312318
4600;4,6;0.179294;0.089099;302;0.063485;0.109032;0.174214;0.241190;0.300775
4700;4,7;0.179101;0.088492;302;0.061092;0.107888;0.176361;0.239345;0.292201
4800;4,8;0.178922;0.087974;302;0.059351;0.106570;0.179556;0.239888;0.293680
4900;4,9;0.178837;0.087567;302;0.060824;0.108493;0.180196;0.240681;0.295497
5000;5;0.178874;0.087223;302;0.059516;0.111515;0.182182;0.235499;0.298042
5100;5,1;0.178739;0.086983;302;0.058981;0.109894;0.183093;0.235679;0.293097
5200;5,2;0.178719;0.086120;302;0.058676;0.109949;0.183922;0.235611;0.288828
5300;5,3;0.179015;0.085604;302;0.060280;0.109358;0.184498;0.237714;0.289772
5400;5,4;0.179183;0.085404;302;0.060088;0.111743;0.185695;0.236090;0.284864
5500;5,5;0.179518;0.085391;302;0.061764;0.110450;0.185132;0.237072;0.285743
